Order Number,Item,Pinyin,Frequency
96,一 大,yi1   da4,220
116,的 大,de   da4,193
217,大 的,da4   de,136
245,大家 都,da4 jia1   dou1,125
328,巨大 的,ju4 da4   de,103
382,很 大,hen3   da4,92
495,大 堆,da4   dui1,79
502,一 大 堆,yi1   da4   dui1,78
577,个 大,ge4   da4,70
655,大声 说,da4 sheng1   shuo1,64
803,大概 是,da4 gai4   shi4,57
855,了 一 大,le   yi1   da4,54
878,一 个 大,yi1   ge4   da4,53
935,大大 的,da4 da4   de,51
1050,很 大 的,hen3   da4   de,47
1333,大 狗,da4   gou3,39
1402,大理石 楼梯,da4 li3 shi2   lou2 ti1,38
1709,大 得,da4   de2,32
1788,那么 大,na4 me   da4,31
1878,只 大,zhi3   da4,30
1923,大 了,da4   le,29
2088,不 大,bu4   da4,28
2335,一 大 群,yi1   da4   qun2,25
2338,最 大,zui4   da4,25
2339,大 群,da4   qun2,25
2449,大 眼睛,da4   yan3 jing1,24
2670,最 大 的,zui4   da4   de,23
2703,大 块,da4   kuai4,23
2738,着 一 大,zhe   yi1   da4,22
2756,大 喊,da4   han3,22
2873,他 大概,ta1   da4 gai4,22
2892,伟大 的,wei3 da4   de,21
2909,哈利 大声,ha1 li4   da4 sheng1,21
3074,张大 了,zhang1 da4   le,21
3116,大 口,da4   kou3,20
3215,一 大 块,yi1   da4   kuai4,20
3319,大声 说道,da4 sheng1   shuo1 dao4,19
3329,你们 大家,ni3 men   da4 jia1,19
3405,的 大 眼睛,de   da4   yan3 jing1,19
3421,条 大,tiao2   da4,19
3545,大概 会,da4 gai4   hui4,18
3611,一 只 大,yi1   zhi3   da4,18
3668,一 大 口,yi1   da4   kou3,18
3803,大声 喊道,da4 sheng1   han3 dao4,17
3817,了 很 大,le   hen3   da4,17
3927,他 大声,ta1   da4 sheng1,17
3956,个 巨大,ge4   ju4 da4,17
3957,个 巨大 的,ge4   ju4 da4   de,17
4007,强大 的,qiang2 da4   de,17
4012,了 一 大 堆,le   yi1   da4   dui1,17
4118,你 大概,ni3   da4 gai4,16
4130,我们 大家,wo3 men   da4 jia1,16
4138,那么 大 的,na4 me   da4   de,16
4232,了 一 大 口,le   yi1   da4   kou3,16
4316,大 脚板,da4   jiao3 ban3,16
4394,有 一 大,you3   yi1   da4,15
4432,大 吼,da4   hou3,15
4458,张大 了 嘴巴,zhang1 da4   le   zui3 ba1,15
4503,着 大家,zhe   da4 jia1,15
4517,一 个 巨大 的,yi1   ge4   ju4 da4   de,15
4613,这 大概,zhe4   da4 gai4,15
4668,一 个 巨大,yi1   ge4   ju4 da4,15
4694,大家 都 知道,da4 jia1   dou1   zhi1 dao4,15
