Order Number,Item,Pinyin,Frequency
14,小 天狼星,xiao3   tian1 lang2 xing1,550
154,飞天 扫帚,fei1 tian1   sao4 zhou3,165
291,一 天,yi1   tian1,112
307,那 天,na4   tian1,108
580,第二 天,di4 er4   tian1,70
700,天狼星 说,tian1 lang2 xing1   shuo1,61
705,小 天狼星 说,xiao3   tian1 lang2 xing1   shuo1,61
806,天 晚上,tian1   wan3 shang4,56
853,天狼星 的,tian1 lang2 xing1   de,54
859,小 天狼星 的,xiao3   tian1 lang2 xing1   de,54
872,的 飞天 扫帚,de   fei1 tian1   sao4 zhou3,53
880,的 飞天,de   fei1 tian1,53
958,天狼星 布莱克,tian1 lang2 xing1   bu4 lai2 ke4,50
987,小 天狼星 布莱克,xiao3   tian1 lang2 xing1   bu4 lai2 ke4,50
1193,每 天,mei3   tian1,43
1386,天花板 上,tian1 hua1 ban3   shang4,38
1547,的 天花板,de   tian1 hua1 ban3,35
1685,那 天 晚上,na4   tian1   wan3 shang4,33
1797,的 那 天,de   na4   tian1,31
1833,天 夜里,tian1   ye4 li3,31
1989,飞天 扫帚 上,fei1 tian1   sao4 zhou3   shang4,29
2341,天 哪,tian1   na3,25
2372,那 天 夜里,na4   tian1   ye4 li3,25
2482,的 天空,de   tian1 kong1,24
2555,天 早晨,tian1   zao3 chen2,24
2979,把 飞天 扫帚,ba3   fei1 tian1   sao4 zhou3,21
3037,几 天,ji3   tian1,21
3066,把 飞天,ba3   fei1 tian1,21
3513,着 天花板,zhe   tian1 hua1 ban3,18
3514,着 小 天狼星,zhe   xiao3   tian1 lang2 xing1,18
3527,的 天,de   tian1,18
3551,天 都,tian1   dou1,18
3618,我 的 天,wo3   de   tian1,18
3781,的 天 哪,de   tian1   na3,17
3899,我 的 天 哪,wo3   de   tian1   na3,17
3924,前 一 天,qian2   yi1   tian1,17
4570,个 夏天,ge4   xia4 tian1,15
4707,第一 天,di4 yi1   tian1,15
4743,和 小 天狼星,he2   xiao3   tian1 lang2 xing1,14
4803,第二 天 早晨,di4 er4   tian1   zao3 chen2,14
4811,他 的 飞天 扫帚,ta1   de   fei1 tian1   sao4 zhou3,14
4812,他 的 飞天,ta1   de   fei1 tian1,14
4815,了 小 天狼星,le   xiao3   tian1 lang2 xing1,14
4819,给 小 天狼星,gei3   xiao3   tian1 lang2 xing1,14
5205,有 一 天,you3   yi1   tian1,13
5224,一 天 晚上,yi1   tian1   wan3 shang4,13
5562,是 小 天狼星,shi4   xiao3   tian1 lang2 xing1,13
5624,整 天,zheng3   tian1,13
5715,今天 是,jin1 tian1   shi4,13
5889,天狼星 和,tian1 lang2 xing1   he2,12
5992,今天 早晨,jin1 tian1   zao3 chen2,12
5999,三 天,san1   tian1,12
6069,小 天狼星 和,xiao3   tian1 lang2 xing1   he2,12
6351,的 天花板 上,de   tian1 hua1 ban3   shang4,12
6551,天 的,tian1   de,11
6553,天狼星 是,tian1 lang2 xing1   shi4,11
6717,一 整 天,yi1   zheng3   tian1,11
6723,从 飞天,cong2   fei1 tian1,11
6724,从 飞天 扫帚,cong2   fei1 tian1   sao4 zhou3,11
