Order Number,Item,Pinyin,Frequency
151,克劳奇 先生,ke4 lao2 qi2   xian1 sheng1,168
520,赫奇 帕奇,he4 qi2   pa4 qi2,76
811,魁地奇 比赛,kui2 di4 qi2   bi3 sai4,56
828,奇怪 的,qi2 guai4   de,56
896,神奇 动物,shen2 qi2   dong4 wu4,52
1232,的 魁地奇,de   kui2 di4 qi2,42
1667,保护 神奇 动物,bao3 hu4   shen2 qi2   dong4 wu4,33
1691,保护 神奇,bao3 hu4   shen2 qi2,33
1717,在 魁地奇,zai4   kui2 di4 qi2,32
1721,帕奇 的,pa4 qi2   de,32
1762,魁地奇 世界杯赛,kui2 di4 qi2   shi4 jie4 bei1 sai4,32
1969,好奇 地,hao4 qi2   di4,29
1999,赫奇 帕奇 的,he4 qi2   pa4 qi2   de,29
2251,保护 神奇 动物 课,bao3 hu4   shen2 qi2   dong4 wu4   ke4,26
2289,神奇 动物 课,shen2 qi2   dong4 wu4   ke4,26
2317,克劳奇 的,ke4 lao2 qi2   de,26
2708,魁地奇 球场,kui2 di4 qi2   qiu2 chang3,23
2716,魁地奇 球队,kui2 di4 qi2   qiu2 dui4,23
3135,奇洛 教授,qi2 luo4   jiao4 shou4,20
3790,神奇 的,shen2 qi2   de,17
3909,小 克劳奇,xiao3   ke4 lao2 qi2,17
3993,费尔奇 的,fei4 er3 qi2   de,17
4623,克劳奇 先生 说,ke4 lao2 qi2   xian1 sheng1   shuo1,15
5209,着 克劳奇,zhe   ke4 lao2 qi2,13
5252,种 奇怪 的,zhong3   qi2 guai4   de,13
5310,奇洛 的,qi2 luo4   de,13
5363,很 奇怪,hen3   qi2 guai4,13
5369,种 奇怪,zhong3   qi2 guai4,13
5383,场 魁地奇,chang3   kui2 di4 qi2,13
5771,在 魁地奇 世界杯赛,zai4   kui2 di4 qi2   shi4 jie4 bei1 sai4,13
5832,场 魁地奇 比赛,chang3   kui2 di4 qi2   bi3 sai4,12
6183,和 赫奇,he2   he4 qi2,12
6184,和 赫奇 帕奇,he2   he4 qi2   pa4 qi2,12
6325,是 克劳奇,shi4   ke4 lao2 qi2,12
6356,惊奇 地,jing1 qi2   di4,12
6408,魁地奇 世界杯赛 上,kui2 di4 qi2   shi4 jie4 bei1 sai4   shang4,12
6410,魁地奇 球,kui2 di4 qi2   qiu2,12
6492,在 魁地奇 比赛,zai4   kui2 di4 qi2   bi3 sai4,11
6720,费尔奇 先生,fei4 er3 qi2   xian1 sheng1,11
