Order Number,Item,Pinyin,Frequency
37,弗农 姨父,fu2 nong2   yi2 fu4,401
133,佩妮 姨妈,pei4 ni1   yi2 ma1,179
1217,姨父 的,yi2 fu4   de,42
1414,弗农 姨父 的,fu2 nong2   yi2 fu4   de,38
1802,姨妈 和,yi2 ma1   he2,31
1855,姨父 说,yi2 fu4   shuo1,30
1905,弗农 姨父 说,fu2 nong2   yi2 fu4   shuo1,30
3588,姨父 和,yi2 fu4   he2,18
3610,弗农 姨父 和,fu2 nong2   yi2 fu4   he2,18
4040,和 佩妮 姨妈,he2   pei4 ni1   yi2 ma1,17
4226,佩妮 姨妈 和,pei4 ni1   yi2 ma1   he2,16
4737,和 姨父,he2   yi2 fu4,14
4873,姨妈 和 姨父,yi2 ma1   he2   yi2 fu4,14
5048,和 弗农 姨父,he2   fu2 nong2   yi2 fu4,14
5264,姨父 和 佩妮,yi2 fu4   he2   pei4 ni1,13
5362,姨妈 的,yi2 ma1   de,13
5365,姨父 和 佩妮 姨妈,yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5685,弗农 姨父 和 佩妮,fu2 nong2   yi2 fu4   he2   pei4 ni1,13
5686,弗农 姨父 和 佩妮 姨妈,fu2 nong2   yi2 fu4   he2   pei4 ni1   yi2 ma1,13
5998,佩妮 姨妈 的,pei4 ni1   yi2 ma1   de,12
6189,的 姨妈,de   yi2 ma1,12
8361,你 姨妈,ni3   yi2 ma1,9
8493,姨妈 和 达力,yi2 ma1   he2   da2 li4,9
8565,佩妮 姨妈 和 达力,pei4 ni1   yi2 ma1   he2   da2 li4,9
9369,着 弗农 姨父,zhe   fu2 nong2   yi2 fu4,8
9572,佩妮 姨妈 说,pei4 ni1   yi2 ma1   shuo1,8
9798,姨妈 说,yi2 ma1   shuo1,8
9801,姨父 吼道,yi2 fu4   hou3 dao4,8
9805,姨父 姨妈,yi2 fu4   yi2 ma1,8
10602,弗农 姨父 吼道,fu2 nong2   yi2 fu4   hou3 dao4,8
10745,的 姨父,de   yi2 fu4,8
11617,姨妈 姨父,yi2 ma1   yi2 fu4,7
12257,是 弗农 姨父,shi4   fu2 nong2   yi2 fu4,7
12819,的 姨妈 和 姨父,de   yi2 ma1   he2   yi2 fu4,7
12820,的 姨妈 和,de   yi2 ma1   he2,7
13388,了 弗农 姨父,le   fu2 nong2   yi2 fu4,6
13572,姨妈 和 弗农,yi2 ma1   he2   fu2 nong2,6
13575,姨妈 和 弗农 姨父,yi2 ma1   he2   fu2 nong2   yi2 fu4,6
13582,姨父 又,yi2 fu4   you4,6
13587,姨父 在,yi2 fu4   zai4,6
13654,佩妮 姨妈 和 弗农,pei4 ni1   yi2 ma1   he2   fu2 nong2,6
13657,佩妮 姨妈 和 弗农 姨父,pei4 ni1   yi2 ma1   he2   fu2 nong2   yi2 fu4,6
14137,弗农 姨父 又,fu2 nong2   yi2 fu4   you4,6
14931,他 姨父,ta1   yi2 fu4,6
15079,是 佩妮 姨妈,shi4   pei4 ni1   yi2 ma1,6
15636,弗农 姨父 在,fu2 nong2   yi2 fu4   zai4,6
15918,在 弗农 姨父,zai4   fu2 nong2   yi2 fu4,6
16313,了 佩妮 姨妈,le   pei4 ni1   yi2 ma1,5
17122,姨妈 在,yi2 ma1   zai4,5
17128,姨父 厉声,yi2 fu4   li4 sheng1,5
17129,姨父 也,yi2 fu4   ye3,5
17132,姨父 咆哮,yi2 fu4   pao2 xiao1,5
17133,姨父 不,yi2 fu4   bu4,5
17139,姨父 用,yi2 fu4   yong4,5
17140,姨父 家,yi2 fu4   jia1,5
17620,像 弗农 姨父,xiang4   fu2 nong2   yi2 fu4,5
18061,弗农 姨父 也,fu2 nong2   yi2 fu4   ye3,5
18062,弗农 姨父 咆哮,fu2 nong2   yi2 fu4   pao2 xiao1,5
18073,弗农 姨父 用,fu2 nong2   yi2 fu4   yong4,5
20054,哈利 的 姨父,ha1 li4   de   yi2 fu4,5
