Order Number,Item,Pinyin,Frequency
1002,个 男孩,ge4   nan2 hai2,49
1035,的 男孩,de   nan2 hai2,48
1152,的 孩子,de   hai2 zi,44
3334,男孩 的,nan2 hai2   de,19
5003,个 孩子,ge4   hai2 zi,14
5036,一 个 男孩,yi1   ge4   nan2 hai2,14
5064,那 个 男孩,na4   ge4   nan2 hai2,14
5555,这 孩子,zhe4   hai2 zi,13
6134,这 个 男孩,zhe4   ge4   nan2 hai2,12
6605,那 男孩,na4   nan2 hai2,11
6785,男孩 说,nan2 hai2   shuo1,11
6953,亲爱 的 孩子,qin1 ai4   de   hai2 zi,11
8352,小 男孩,xiao3   nan2 hai2,9
9736,那 孩子,na4   hai2 zi,8
11498,那个 男孩,na4 ge   nan2 hai2,7
11814,两 个 男孩,liang3   ge4   nan2 hai2,7
12274,个 男孩 的,ge4   nan2 hai2   de,7
13918,这 男孩,zhe4   nan2 hai2,6
14510,我 亲爱 的 孩子,wo3   qin1 ai4   de   hai2 zi,6
17011,好 孩子,hao3   hai2 zi,5
17036,苍白 的 男孩,cang1 bai2   de   nan2 hai2,5
17198,孩子 都,hai2 zi   dou1,5
17201,孩子们 的,hai2 zi men   de,5
20194,一 个 孩子,yi1   ge4   hai2 zi,5
20568,的 女孩,de   nv3 hai2,5
