Order Number,Item,Pinyin,Frequency
2418,安静 下来,an1 jing4   xia4 lai2,25
2690,安全 的,an1 quan2   de,23
4497,不安 地,bu4 an1   di4,15
5589,迪安 和,di2 an1   he2,13
6467,和 迪安,he2   di2 an1,11
6591,局促不安 地,ju2 cu4 bu4 an1   di4,11
7090,的 安全,de   an1 quan2,11
8416,迪安 和 西莫,di2 an1   he2   xi1 mo4,9
9564,安全 的 地方,an1 quan2   de   di4 fang1,8
9900,安全 了,an1 quan2   le,8
11056,大家 安静,da4 jia1   an1 jing4,7
11081,紧张 不安,jin3 zhang1   bu4 an1,7
11728,安慰 她,an1 wei4   ta1,7
11729,安慰 他,an1 wei4   ta1,7
13653,安静 了,an1 jing4   le,6
13932,局促不安 地 说,ju2 cu4 bu4 an1   di4   shuo1,6
13953,巨怪 保安,ju4 guai4   bao3 an1,6
14120,不安 的,bu4 an1   de,6
16855,罗恩不安 地,luo2 en1 bu4 an1   di4,5
17284,安安静静 地,an1 an1 jing4 jing4   di4,5
17421,赫敏不安 地,he4 min3 bu4 an1   di4,5
19466,是 安全 的,shi4   an1 quan2   de,5
19467,是 安全,shi4   an1 quan2,5
19640,最 安全,zui4   an1 quan2,5
20585,的 安排,de   an1 pai2,5
