Order Number,Item,Pinyin,Frequency
2615,完全 不,wan2 quan2   bu4,23
3723,完 了,wan2   le,18
4516,完全 是,wan2 quan2   shi4,15
5754,完成 了,wan2 cheng2   le,13
6831,他 完全,ta1   wan2 quan2,11
6851,没有 完全,mei2 you3   wan2 quan2,11
7524,完全 被,wan2 quan2   bei4,10
7529,完蛋 了,wan2 dan4   le,10
7549,说 完,shuo1   wan2,10
8557,完全 不同,wan2 quan2   bu4 tong2,9
8829,吃完 了,chi1 wan2   le,9
9050,没 说完,mei2   shuo1 wan2,9
9567,话 说完,hua4   shuo1 wan2,8
10265,是 完全,shi4   wan2 quan2,8
10432,哈利 完全,ha1 li4   wan2 quan2,8
10527,他 说 完,ta1   shuo1   wan2,8
11274,完全 没有,wan2 quan2   mei2 you3,7
12028,把 话 说完,ba3   hua4   shuo1 wan2,7
13410,你 完全,ni3   wan2 quan2,6
13655,完全 可以,wan2 quan2   ke3 yi3,6
13660,完成 的,wan2 cheng2   de,6
13685,说完 就,shuo1 wan2   jiu4,6
13867,还 没有 完全,hai2   mei2 you3   wan2 quan2,6
15481,没完没了 地,mei2 wan2 mei2 liao3   di4,6
16302,似乎 完全,si4 hu1   wan2 quan2,5
17283,完 就,wan2   jiu4,5
17290,完全 不 一样,wan2 quan2   bu4   yi1 yang4,5
17317,说 完 就,shuo1   wan2   jiu4,5
19176,个 完全,ge4   wan2 quan2,5
19950,一 个 完全,yi1   ge4   wan2 quan2,5
20102,他 讲完,ta1   jiang3 wan2,5
21018,看上去 完全,kan4 shang4 qu4   wan2 quan2,5
