Order Number,Item,Pinyin,Frequency
404,封 信,feng1   xin4,89
715,一 封,yi1   feng1,61
1411,一 封 信,yi1   feng1   xin4,38
1805,那 封,na4   feng1,31
2886,那 封 信,na4   feng1   xin4,21
5011,的 信封,de   xin4 feng1,14
6322,这 封,zhe4   feng1,12
6863,这 封 信,zhe4   feng1   xin4,11
8103,的 那 封,de   na4   feng1,10
9611,封死 了,feng1 si3   le,8
11227,被 封死,bei4   feng1 si3,7
12994,的 那 封 信,de   na4   feng1   xin4,7
13371,红 信封,hong2   xin4 feng1,6
13735,封面 上,feng1 mian4   shang4,6
14744,个 信封,ge4   xin4 feng1,6
15727,的 一 封 信,de   yi1   feng1   xin4,6
15728,的 一 封,de   yi1   feng1,6
16061,了 一 封,le   yi1   feng1,6
16300,着 一 封,zhe   yi1   feng1,5
17428,封 信 给,feng1   xin4   gei3,5
19674,有 一 封,you3   yi1   feng1,5
20822,了 一 封 信,le   yi1   feng1   xin4,5
