Order Number,Item,Pinyin,Frequency
3633,至少 有,zhi4 shao3   you3,18
3918,没有 多少,mei2 you3   duo1 shao3,17
4096,了 多少,le   duo1 shao3,16
4731,了 不少,le   bu4 shao3,15
4976,少 了,shao3   le,14
8202,有 多少,you3   duo1 shao3,9
9478,巴蒂 少爷,ba1 di4   shao4 ye2,8
9520,多少 人,duo1 shao3   ren2,8
11191,至少 是,zhi4 shao3   shi4,7
11201,多少 时间,duo1 shao3   shi2 jian1,7
11202,多少 遍,duo1 shao3   bian4,7
11280,了 至少,le   zhi4 shao3,7
13536,多少 钱,duo1 shao3   qian2,6
14280,很少 有,hen3 shao3   you3,6
15613,不 了 多少,bu4   le   duo1 shao3,6
16580,多少 次,duo1 shao3   ci4,5
17527,少数 几,shao3 shu4   ji3,5
17575,过 多少,guo4   duo1 shao3,5
18210,很 少,hen3   shao3,5
19718,有 多少 人,you3   duo1 shao3   ren2,5
