Order Number,Item,Pinyin,Frequency
543,他 已经,ta1   yi3 jing1,73
756,我 已经,wo3   yi3 jing1,59
1471,已经 把,yi3 jing1   ba3,37
1500,他们 已经,ta1 men   yi3 jing1,36
1507,你 已经,ni3   yi3 jing1,36
1920,已经 有,yi3 jing1   you3,29
2106,已经 不,yi3 jing1   bu4,27
2130,哈利 已经,ha1 li4   yi3 jing1,27
2503,她 已经,ta1   yi3 jing1,24
2601,已经 在,yi3 jing1   zai4,23
2745,已经 知道,yi3 jing1   zhi1 dao4,22
2803,我们 已经,wo3 men   yi3 jing1,22
2833,已经 很,yi3 jing1   hen3,22
3176,现在 已经,xian4 zai4   yi3 jing1,20
3529,已经 被,yi3 jing1   bei4,18
3773,已经 死,yi3 jing1   si3,17
3968,已经 死 了,yi3 jing1   si3   le,17
5223,已经 来,yi3 jing1   lai2,13
5329,已经 知道 了,yi3 jing1   zhi1 dao4   le,13
5607,就 已经,jiu4   yi3 jing1,13
6197,已经 到,yi3 jing1   dao4,12
6198,已经 是,yi3 jing1   shi4,12
6207,他 已,ta1   yi3,12
6657,已经 没有,yi3 jing1   mei2 you3,11
6907,已经 从,yi3 jing1   cong2,11
6913,已经 开始,yi3 jing1   kai1 shi3,11
7490,它 已经,ta1   yi3 jing1,10
7821,已经 到 了,yi3 jing1   dao4   le,10
7824,已经 够,yi3 jing1   gou4,10
7830,已经 来到,yi3 jing1   lai2 dao4,10
8844,早 已,zao3   yi3,9
8932,已 是,yi3   shi4,9
8945,已经 来 不,yi3 jing1   lai2   bu4,9
8947,已经 来 不 及,yi3 jing1   lai2   bu4   ji2,9
9707,已经 回来,yi3 jing1   hui2 lai2,8
9708,已经 回来 了,yi3 jing1   hui2 lai2   le,8
9710,已经 来 不 及 了,yi3 jing1   lai2   bu4   ji2   le,8
9968,我 已经 把,wo3   yi3 jing1   ba3,8
9998,赫敏 已经,he4 min3   yi3 jing1,8
10335,已经 习惯,yi3 jing1   xi2 guan4,8
10346,已经 对,yi3 jing1   dui4,8
10508,都 已,dou1   yi3,8
10958,似乎 已经,si4 hu1   yi3 jing1,7
11448,这时 他们 已经,zhe4 shi2   ta1 men   yi3 jing1,7
11465,已 不,yi3   bu4,7
12362,已经 习惯 了,yi3 jing1   xi2 guan4   le,7
12405,已经 过去,yi3 jing1   guo4 qu4,7
12657,人 已经,ren2   yi3 jing1,7
13215,知道 他 已经,zhi1 dao4   ta1   yi3 jing1,6
13417,罗恩 已经,luo2 en1   yi3 jing1,6
13516,自己 已经,zi4 ji3   yi3 jing1,6
13969,已 从,yi3   cong2,6
13974,已 被,yi3   bei4,6
13986,已经 有点,yi3 jing1   you3 dian3,6
13987,已经 有 了,yi3 jing1   you3   le,6
13988,已经 有 一,yi3 jing1   you3   yi1,6
13994,已经 答应,yi3 jing1   da1 ying4,6
13996,已经 跟,yi3 jing1   gen1,6
14125,里 已经,li3   yi3 jing1,6
14787,上 已经,shang4   yi3 jing1,6
16917,肯定 已经,ken3 ding4   yi3 jing1,5
17218,你们 已经,ni3 men   yi3 jing1,5
17671,事情 已经,shi4 qing2   yi3 jing1,5
17781,已 有,yi3   you3,5
17786,已经 不 再,yi3 jing1   bu4   zai4,5
17793,已经 坐,yi3 jing1   zuo4,5
17815,已经 走,yi3 jing1   zou3,5
17819,已经 走 了,yi3 jing1   zou3   le,5
17820,已经 结束,yi3 jing1   jie2 shu4,5
17948,都 已经,dou1   yi3 jing1,5
19275,他 已经 不,ta1   yi3 jing1   bu4,5
19283,他 已经 把,ta1   yi3 jing1   ba3,5
19339,既然 已经,ji4 ran2   yi3 jing1,5
20397,也 已经,ye3   yi3 jing1,5
20465,他们 已经 来到,ta1 men   yi3 jing1   lai2 dao4,5
