Order Number,Item,Pinyin,Frequency
181,虫 尾巴,chong2   wei3 ba,151
1933,的 尾巴,de   wei3 ba,29
1964,隆 巴顿,long2   ba1 dun4,29
2196,泥巴 种,ni2 ba1   zhong3,27
2473,巴格曼 先生,ba1 ge2 man4   xian1 sheng1,24
2575,了 嘴巴,le   zui3 ba1,23
2634,的 嘴巴,de   zui3 ba1,23
2897,巴格曼 说,ba1 ge2 man4   shuo1,21
3291,布斯巴顿 的,bu4 si1 ba1 dun4   de,19
3655,布斯 巴顿,bu4 si1   ba1 dun4,18
4081,巴克比克 的,ba1 ke4 bi3 ke4   de,16
4452,结结巴巴 地,jie1 jie1 ba1 ba1   di4,15
4458,张大 了 嘴巴,zhang1 da4   le   zui3 ba1,15
4751,眼巴巴 地,yan3 ba1 ba1   di4,14
4820,皱巴巴 的,zhou4 ba1 ba1   de,14
4826,干巴巴 地,gan1 ba1 ba1   di4,14
5331,巴格曼 的,ba1 ge2 man4   de,13
5351,虫 尾巴 的,chong2   wei3 ba   de,13
5568,巴顿 的,ba1 dun4   de,13
5571,尾巴 的,wei3 ba   de,13
6561,结结巴巴 地 说,jie1 jie1 ba1 ba1   di4   shuo1,11
6626,血 人 巴罗,xue4   ren2   ba1 luo2,11
6699,人 巴罗,ren2   ba1 luo2,11
6749,嘴巴 张,zui3 ba1   zhang1,11
7414,布斯巴顿 和,bu4 si1 ba1 dun4   he2,10
7835,布斯巴顿 和 德姆斯特朗,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3,10
8185,着 嘴巴,zhe   zui3 ba1,9
8442,干巴巴 地 说,gan1 ba1 ba1   di4   shuo1,9
8825,捂住 嘴巴,wu3 zhu4   zui3 ba1,9
9167,的 下巴,de   xia4 ba1,9
9478,巴蒂 少爷,ba1 di4   shao4 ye2,8
9717,布斯 巴顿 的,bu4 si1   ba1 dun4   de,8
10635,嘴巴 张 得,zui3 ba1   zhang1   de2,8
10655,张开 嘴巴,zhang1 kai1   zui3 ba1,8
10915,地 张大 了 嘴巴,di4   zhang1 da4   le   zui3 ba1,8
10971,着 尾巴,zhe   wei3 ba,7
11031,着 巴克比克,zhe   ba1 ke4 bi3 ke4,7
11443,尾巴 说,wei3 ba   shuo1,7
11577,虫 尾巴 说,chong2   wei3 ba   shuo1,7
12163,吃惊 地 张大 了 嘴巴,chi1 jing1   di4   zhang1 da4   le   zui3 ba1,7
12426,布斯巴顿 和 德姆斯特朗 的,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3   de,7
12447,巴格曼 在,ba1 ge2 man4   zai4,7
13706,对 巴格曼,dui4   ba1 ge2 man4,6
13925,尾巴 上,wei3 ba   shang4,6
13927,尾巴 在,wei3 ba   zai4,6
13998,巴格曼 和,ba1 ge2 man4   he2,6
14001,巴波 块茎,ba1 bo1   kuai4 jing1,6
15376,哈利 干巴巴 地,ha1 li4   gan1 ba1 ba1   di4,6
15377,哈利 干巴巴,ha1 li4   gan1 ba1 ba1,6
15668,嘴巴 张 得 大大,zui3 ba1   zhang1   de2   da4 da4,6
15669,嘴巴 张 得 大大 的,zui3 ba1   zhang1   de2   da4 da4   de,6
16268,眨巴 着 眼睛,zha3 ba1   zhe   yan3 jing1,5
16269,眨巴 着,zha3 ba1   zhe,5
16401,着 虫 尾巴,zhe   chong2   wei3 ba,5
16738,了 巴格曼,le   ba1 ge2 man4,5
17074,虫 尾巴 在,chong2   wei3 ba   zai4,5
17731,尾巴 又,wei3 ba   you4,5
17824,巴格曼 喊道,ba1 ge2 man4   han3 dao4,5
17833,布斯巴顿 的 马车,bu4 si1 ba1 dun4   de   ma3 che1,5
18101,张 着 嘴巴,zhang1   zhe   zui3 ba1,5
18857,手 捂住 嘴巴,shou3   wu3 zhu4   zui3 ba1,5
18966,把 嘴巴,ba3   zui3 ba1,5
19546,是 虫 尾巴,shi4   chong2   wei3 ba,5
19627,和 布斯巴顿,he2   bu4 si1 ba1 dun4,5
19628,和 巴格曼,he2   ba1 ge2 man4,5
19629,和 巴克比克,he2   ba1 ke4 bi3 ke4,5
19931,正 巴不得,zheng4   ba1 bu4 de2,5
20007,毛茸茸 的 尾巴,mao2 rong2 rong2   de   wei3 ba,5
20012,他 结结巴巴 地,ta1   jie1 jie1 ba1 ba1   di4,5
20013,他 结结巴巴,ta1   jie1 jie1 ba1 ba1,5
20038,下巴 上,xia4 ba1   shang4,5
20836,的 虫 尾巴,de   chong2   wei3 ba,5
