Order Number,Item,Pinyin,Frequency
154,飞天 扫帚,fei1 tian1   sao4 zhou3,165
872,的 飞天 扫帚,de   fei1 tian1   sao4 zhou3,53
1020,扫帚 上,sao4 zhou3   shang4,48
1625,把 扫帚,ba3   sao4 zhou3,34
1989,飞天 扫帚 上,fei1 tian1   sao4 zhou3   shang4,29
2413,的 扫帚,de   sao4 zhou3,25
2979,把 飞天 扫帚,ba3   fei1 tian1   sao4 zhou3,21
3364,扫帚 把,sao4 zhou3   ba3,19
3870,扫帚 的,sao4 zhou3   de,17
3890,三 把 扫帚,san1   ba3   sao4 zhou3,17
4811,他 的 飞天 扫帚,ta1   de   fei1 tian1   sao4 zhou3,14
6704,从 扫帚,cong2   sao4 zhou3,11
6724,从 飞天 扫帚,cong2   fei1 tian1   sao4 zhou3,11
6726,从 飞天 扫帚 上,cong2   fei1 tian1   sao4 zhou3   shang4,11
7507,一 把 飞天 扫帚,yi1   ba3   fei1 tian1   sao4 zhou3,10
8596,从 扫帚 上,cong2   sao4 zhou3   shang4,9
8835,新 扫帚,xin1   sao4 zhou3,9
9230,在 扫帚,zai4   sao4 zhou3,9
9273,飞天 扫帚 的,fei1 tian1   sao4 zhou3   de,9
11644,飞天 扫帚 护理,fei1 tian1   sao4 zhou3   hu4 li3,7
11961,扫帚 上 摔,sao4 zhou3   shang4   shuai1,7
11964,扫帚 护理,sao4 zhou3   hu4 li3,7
12973,在 飞天 扫帚,zai4   fei1 tian1   sao4 zhou3,7
12975,在 飞天 扫帚 上,zai4   fei1 tian1   sao4 zhou3   shang4,7
14315,骑 飞天 扫帚,qi2   fei1 tian1   sao4 zhou3,6
14733,扫帚 在,sao4 zhou3   zai4,6
14821,抓住 扫帚,zhua1 zhu4   sao4 zhou3,6
15309,他 的 扫帚,ta1   de   sao4 zhou3,6
16156,的 飞天 扫帚 上,de   fei1 tian1   sao4 zhou3   shang4,6
16744,着 飞天 扫帚,zhe   fei1 tian1   sao4 zhou3,5
18285,飞天 扫帚 护理 工具箱,fei1 tian1   sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
18305,骑上 扫帚,qi2 shang4   sao4 zhou3,5
18917,扫帚 上 的,sao4 zhou3   shang4   de,5
18918,扫帚 把 上,sao4 zhou3   ba3   shang4,5
18924,扫帚 间,sao4 zhou3   jian1,5
18925,扫帚 护理 工具箱,sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
20459,在 三 把 扫帚,zai4   san1   ba3   sao4 zhou3,5
20634,在 扫帚 上,zai4   sao4 zhou3   shang4,5
