Order Number,Item,Pinyin,Frequency
115,一 张,yi1   zhang1,195
341,那 张,na4   zhang1,100
656,紧张 地,jin3 zhang1   di4,64
1807,张 桌子,zhang1   zhuo1 zi,31
1961,张 羊皮纸,zhang1   yang2 pi2 zhi3,29
2131,着 一 张,zhe   yi1   zhang1,27
2376,张望 着,zhang1 wang4   zhe,25
2766,这 张,zhe4   zhang1,22
2772,的 一 张,de   yi1   zhang1,22
2861,紧张 的,jin3 zhang1   de,22
2958,的 那 张,de   na4   zhang1,21
3074,张大 了,zhang1 da4   le,21
4042,紧张 地 说,jin3 zhang1   di4   shuo1,17
4064,有 一 张,you3   yi1   zhang1,16
4227,一 张 桌子,yi1   zhang1   zhuo1 zi,16
4330,哈利 紧张,ha1 li4   jin3 zhang1,16
4458,张大 了 嘴巴,zhang1 da4   le   zui3 ba1,15
4555,张 着,zhang1   zhe,15
4639,几 张,ji3   zhang1,15
4674,张 脸,zhang1   lian3,15
4959,四 下 张望,si4   xia4   zhang1 wang4,14
5077,下 张望,xia4   zhang1 wang4,14
5131,了 一 张,le   yi1   zhang1,14
5436,两 张,liang3   zhang1,13
5541,在 一 张,zai4   yi1   zhang1,13
5547,一 张 羊皮纸,yi1   zhang1   yang2 pi2 zhi3,13
5694,张 床,zhang1   chuang2,13
6271,哈利 紧张 地,ha1 li4   jin3 zhang1   di4,12
6290,非常 紧张,fei1 chang2   jin3 zhang1,12
6306,张 纸条,zhang1   zhi3 tiao2,12
6422,地 张大,di4   zhang1 da4,12
6748,张 得,zhang1   de2,11
6749,嘴巴 张,zui3 ba1   zhang1,11
6784,张 照片,zhang1   zhao4 pian1,11
7178,地 张大 了,di4   zhang1 da4   le,11
7383,罗恩 紧张,luo2 en1   jin3 zhang1,10
7384,罗恩 紧张 地,luo2 en1   jin3 zhang1   di4,10
7757,是 一 张,shi4   yi1   zhang1,10
7862,那 张 羊皮纸,na4   zhang1   yang2 pi2 zhi3,10
7963,张 桌子 旁,zhang1   zhuo1 zi   pang2,10
8328,紧张 得,jin3 zhang1   de2,9
8376,每 一 张,mei3   yi1   zhang1,9
8669,赫敏 紧张,he4 min3   jin3 zhang1,9
8831,吃惊 地 张大,chi1 jing1   di4   zhang1 da4,9
8902,左右 张望,zuo3 you4   zhang1 wang4,9
9001,下 张望 着,xia4   zhang1 wang4   zhe,9
9139,四 下 张望 着,si4   xia4   zhang1 wang4   zhe,9
9141,四 张,si4   zhang1,9
9148,张望 了,zhang1 wang4   le,9
9434,紧张 地 问,jin3 zhang1   di4   wen4,8
9594,紧张 了,jin3 zhang1   le,8
9774,张 桌子 上,zhang1   zhuo1 zi   shang4,8
9814,很 紧张,hen3   jin3 zhang1,8
9935,三 张,san1   zhang1,8
10006,赫敏 紧张 地,he4 min3   jin3 zhang1   di4,8
10208,吃惊 地 张大 了,chi1 jing1   di4   zhang1 da4   le,8
