Order Number,Item,Pinyin,Frequency
841,三 强,san1   qiang2,55
914,强 争霸赛,qiang2   zheng1 ba4 sai4,52
923,三 强 争霸赛,san1   qiang2   zheng1 ba4 sai4,52
2807,三 强 争霸赛 的,san1   qiang2   zheng1 ba4 sai4   de,22
2852,强 争霸赛 的,qiang2   zheng1 ba4 sai4   de,22
3830,强迫 自己,qiang3 po4   zi4 ji3,17
4007,强大 的,qiang2 da4   de,17
4680,强烈 的,qiang2 lie4   de,15
7977,强 的,qiang2   de,10
8649,参加 三 强,can1 jia1   san1   qiang2,9
8650,参加 三 强 争霸赛,can1 jia1   san1   qiang2   zheng1 ba4 sai4,9
9973,三强 争霸赛,san1 qiang2   zheng1 ba4 sai4,8
10863,很 强,hen3   qiang2,8
11579,强壮 起来,qiang2 zhuang4   qi3 lai2,7
12173,他 强迫,ta1   qiang3 po4,7
12444,哈利 勉强,ha1 li4   mian3 qiang3,7
14475,勉强 地,mian3 qiang3   di4,6
15051,是 三 强,shi4   san1   qiang2,6
15052,是 三 强 争霸赛 的,shi4   san1   qiang2   zheng1 ba4 sai4   de,6
15053,是 三 强 争霸赛,shi4   san1   qiang2   zheng1 ba4 sai4,6
15207,最 强大,zui4   qiang2 da4,6
16886,老鼠 强身剂,lao3 shu3   qiang2 shen1 ji4,5
18214,很 强 的,hen3   qiang2   de,5
19319,他 强迫 自己,ta1   qiang3 po4   zi4 ji3,5
19626,更加 强大,geng4 jia1   qiang2 da4,5
19639,最 强大 的,zui4   qiang2 da4   de,5
20970,了 三 强 争霸赛,le   san1   qiang2   zheng1 ba4 sai4,5
20971,了 三 强,le   san1   qiang2,5
