Order Number,Item,Pinyin,Frequency
508,当 他,dang1   ta1,78
553,当然 啦,dang1 ran2   la,72
738,当 他们,dang1   ta1 men,59
1588,当 哈利,dang1   ha1 li4,35
2331,我 当然,wo3   dang1 ran2,25
2389,当然 不,dang1 ran2   bu4,25
3134,每 当,mei3   dang1,20
3206,当然 是,dang1 ran2   shi4,20
4580,当 我,dang1   wo3,15
4682,当 着,dang1   zhe,15
5014,可是 当,ke3 shi4   dang1,14
6317,当 一,dang1   yi1,12
6715,我 当时,wo3   dang1 shi2,11
7451,当然 是 这样,dang1 ran2   shi4   zhe4 yang4,10
7744,他 当然,ta1   dang1 ran2,10
8479,当 她,dang1   ta1,9
8483,当然 可以,dang1 ran2   ke3 yi3,9
9168,当 级长,dang1   ji2 zhang3,9
9784,当然 不 会,dang1 ran2   bu4   hui4,8
10216,他 当时,ta1   dang1 shi2,8
10676,当 你,dang1   ni3,8
11393,你 当时,ni3   dang1 shi2,7
11582,当 他们 走进,dang1   ta1 men   zou3 jin4,7
11584,当 那,dang1   na4,7
11586,当啷 一,dang1 lang1   yi1,7
11588,当时 的,dang1 shi2   de,7
12754,当时 是,dang1 shi2   shi4,7
12762,当然 会,dang1 ran2   hui4,7
13468,她 当时,ta1   dang1 shi2,6
14174,当 一 个,dang1   yi1   ge4,6
14180,当时 我,dang1 shi2   wo3,6
14181,当啷 一 声,dang1 lang1   yi1   sheng1,6
14186,当然 知道,dang1 ran2   zhi1 dao4,6
15431,每 当 他,mei3   dang1   ta1,6
16839,你 当然,ni3   dang1 ran2,5
18133,当 我们,dang1   wo3 men,5
18135,当上 了,dang1 shang4   le,5
18146,当然 没,dang1 ran2   mei2,5
18147,当然 不 是,dang1 ran2   bu4   shi4,5
18148,当成 了,dang4 cheng2   le,5
18528,想 当,xiang3   dang1,5
19125,只有 当,zhi3 you3   dang1,5
19929,正 当,zheng4   dang1,5
20338,珀西 当上,po4 xi1   dang1 shang4,5
