Order Number,Item,Pinyin,Frequency
1757,往前 走,wang3 qian2   zou3,32
2702,往常 一样,wang3 chang2   yi1 yang4,23
3939,往后 退,wang3 hou4   tui4,17
4241,往下 一,wang3 xia4   yi1,16
4645,像 往常,xiang4   wang3 chang2,15
5019,像 往常 一样,xiang4   wang3 chang2   yi1 yang4,14
5132,往下 说,wang3 xia4   shuo1,14
5640,比 往常,bi3   wang3 chang2,13
6127,往下 一 沉,wang3 xia4   yi1   chen2,12
6424,地 往,di4   wang3,12
9686,比 以往,bi3   yi3 wang3,8
9787,往前 走去,wang3 qian2   zou3 qu4,8
11359,继续 往前,ji4 xu4   wang3 qian2,7
11594,往 里面,wang3   li3 mian4,7
13044,地 往前,di4   wang3 qian2,7
13742,走廊 往前,zou3 lang2   wang3 qian2,6
14190,往 他,wang3   ta1,6
14193,往 楼上,wang3   lou2 shang4,6
14261,一边 往,yi1 bian1   wang3,6
15201,和 往常,he2   wang3 chang2,6
15203,和 往常 一样,he2   wang3 chang2   yi1 yang4,6
15438,比 以往 任何 时候,bi3   yi3 wang3   ren4 he2   shi2 hou4,6
15439,比 以往 任何,bi3   yi3 wang3   ren4 he2,6
15441,比 以往 任何 时候 都,bi3   yi3 wang3   ren4 he2   shi2 hou4   dou1,6
15912,的 往事,de   wang3 shi4,6
15996,以往 任何 时候,yi3 wang3   ren4 he2   shi2 hou4,6
15998,以往 任何,yi3 wang3   ren4 he2,6
16006,以往 任何 时候 都,yi3 wang3   ren4 he2   shi2 hou4   dou1,6
16787,继续 往下 说,ji4 xu4   wang3 xia4   shuo1,5
16788,继续 往下,ji4 xu4   wang3 xia4,5
16789,继续 往前 走,ji4 xu4   wang3 qian2   zou3,5
17804,通往 门厅 的,tong1 wang3   men2 ting1   de,5
17805,通往 门厅,tong1 wang3   men2 ting1,5
17923,再 往,zai4   wang3,5
18163,往上 走,wang3 shang4   zou3,5
18164,往前 一,wang3 qian2   yi1,5
18165,往上 爬,wang3 shang4   pa2,5
18168,往后 退 了,wang3 hou4   tui4   le,5
18171,往后 站,wang3 hou4   zhan4,5
19164,接着 往下,jie1 zhe   wang3 xia4,5
