Order Number,Item,Pinyin,Frequency
1019,魔法 防御,mo2 fa3   fang2 yu4,48
1025,防御 术,fang2 yu4   shu4,48
1062,黑 魔法 防御,hei1   mo2 fa3   fang2 yu4,47
1159,魔法 防御 术,mo2 fa3   fang2 yu4   shu4,44
1165,黑 魔法 防御 术,hei1   mo2 fa3   fang2 yu4   shu4,44
1494,防御 术 课,fang2 yu4   shu4   ke4,37
1559,魔法 防御 术 课,mo2 fa3   fang2 yu4   shu4   ke4,35
1598,黑 魔法 防御 术 课,hei1   mo2 fa3   fang2 yu4   shu4   ke4,35
6262,防御 术 课 的,fang2 yu4   shu4   ke4   de,12
6447,黑 魔法 防御 术 课 的,hei1   mo2 fa3   fang2 yu4   shu4   ke4   de,11
7151,的 黑 魔法 防御,de   hei1   mo2 fa3   fang2 yu4,11
7153,的 黑 魔法 防御 术,de   hei1   mo2 fa3   fang2 yu4   shu4,11
7177,魔法 防御 术 课 的,mo2 fa3   fang2 yu4   shu4   ke4   de,11
7486,黑 魔法 防御术,hei1   mo2 fa3   fang2 yu4 shu4,10
8109,魔法 防御术,mo2 fa3   fang2 yu4 shu4,10
9318,的 黑 魔法 防御 术 课,de   hei1   mo2 fa3   fang2 yu4   shu4   ke4,9
9788,防御 术 课 教师,fang2 yu4   shu4   ke4   jiao4 shi1,8
9841,魔法 防御 术 课 教师,mo2 fa3   fang2 yu4   shu4   ke4   jiao4 shi1,8
9849,黑 魔法 防御 术 课 教师,hei1   mo2 fa3   fang2 yu4   shu4   ke4   jiao4 shi1,8
14202,防御 术 课 老师,fang2 yu4   shu4   ke4   lao3 shi1,6
14345,魔法 防御 术 课 老师,mo2 fa3   fang2 yu4   shu4   ke4   lao3 shi1,6
14364,黑 魔法 防御 术 课 老师,hei1   mo2 fa3   fang2 yu4   shu4   ke4   lao3 shi1,6
17168,学校 黑 魔法 防御,xue2 xiao4   hei1   mo2 fa3   fang2 yu4,5
17177,学校 黑 魔法 防御 术 课,xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4   ke4,5
17182,学校 黑 魔法 防御 术,xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4,5
18340,魔法 学校 黑 魔法 防御,mo2 fa3   xue2 xiao4   hei1   mo2 fa3   fang2 yu4,5
18341,魔法 学校 黑 魔法 防御 术,mo2 fa3   xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4,5
18379,黑魔法 防御,hei1 mo2 fa3   fang2 yu4,5
19054,抵御 摄,di3 yu4   she4,5
19058,抵御 摄 魂怪,di3 yu4   she4   hun2 guai4,5
