Order Number,Item,Pinyin,Frequency
137,弗雷德 和,fu2 lei2 de2   he2,178
224,弗雷德 和 乔治,fu2 lei2 de2   he2   qiao2 zhi4,134
445,弗雷德 说,fu2 lei2 de2   shuo1,84
737,德思礼 一,de2 si1 li3   yi1,59
749,德思礼 一 家,de2 si1 li3   yi1   jia1,59
1061,德思礼 夫妇,de2 si1 li3   fu1 fu4,47
1334,奥利凡德 先生,ao4 li4 fan2 de2   xian1 sheng1,39
1341,塞德里克 的,sai1 de2 li3 ke4   de,39
1506,德姆斯特朗 的,de2 mu3 si1 te4 lang3   de,36
2039,海德薇 的,hai3 de2 wei1   de,28
2221,塞德里克•迪戈 里,sai1 de2 li3 ke4 • di2 ge1   li3,26
2371,伍德 说,wu3 de2   shuo1,25
2516,里德尔 的,li3 de2 er3   de,24
2730,德思礼 先生,de2 si1 li3   xian1 sheng1,22
3090,和 塞德里克,he2   sai1 de2 li3 ke4,20
3556,去 霍格莫德,qu4   huo4 ge2 mo4 de2,18
3627,塞德里克 说,sai1 de2 li3 ke4   shuo1,18
3734,海德薇 的 笼子,hai3 de2 wei1   de   long2 zi,18
4051,里德尔 说,li3 de2 er3   shuo1,17
4739,德 思,de2   si1,14
5049,和 德姆斯特朗,he2   de2 mu3 si1 te4 lang3,14
5091,德 思 礼,de2   si1   li3,14
5792,德思礼 太太,de2 si1 li3   tai4 tai4,13
5794,德思礼家 的,de2 si1 li3 jia1   de,13
5798,德 思礼,de2   si1 li3,12
5831,了 塞德里克,le   sai1 de2 li3 ke4,12
5833,着 弗雷德,zhe   fu2 lei2 de2,12
7037,弗雷德 和 乔治 的,fu2 lei2 de2   he2   qiao2 zhi4   de,11
7440,里德尔 的 日记,li3 de2 er3   de   ri4 ji4,10
7597,里德尔 一,li3 de2 er3   yi1,10
7835,布斯巴顿 和 德姆斯特朗,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3,10
7957,里德尔 一 家,li3 de2 er3   yi1   jia1,10
8195,着 海德薇,zhe   hai3 de2 wei1,9
8379,奥利凡德 先生 说,ao4 li4 fan2 de2   xian1 sheng1   shuo1,9
8525,德 思 礼 一,de2   si1   li3   yi1,9
8526,德 思 礼 一 家,de2   si1   li3   yi1   jia1,9
8918,和 德姆斯特朗 的,he2   de2 mu3 si1 te4 lang3   de,9
8923,和 海德薇,he2   hai3 de2 wei1,9
9123,弗雷德 和 乔治•韦斯莱,fu2 lei2 de2   he2   qiao2 zhi4 • wei2 si1 lai2,9
9442,塞德里克 和,sai1 de2 li3 ke4   he2,8
9450,了 弗雷德,le   fu2 lei2 de2,8
10269,是 弗雷德,shi4   fu2 lei2 de2,8
11032,着 弗雷德 和,zhe   fu2 lei2 de2   he2,7
11035,着 弗雷德 和 乔治,zhe   fu2 lei2 de2   he2   qiao2 zhi4,7
11092,塞德里克 在,sai1 de2 li3 ke4   zai4,7
11684,德姆斯特朗 的 学生,de2 mu3 si1 te4 lang3   de   xue2 sheng1,7
11685,德思礼 一 家 三,de2 si1 li3   yi1   jia1   san1,7
11687,德思礼 一 家 三 口,de2 si1 li3   yi1   jia1   san1   kou3,7
11690,德思礼 家,de2 si1 li3   jia1,7
12177,吉德罗•洛哈特 著,ji2 de2 luo2 • luo4 ha1 te4   zhu4,7
12336,和 弗雷德,he2   fu2 lei2 de2,7
12339,和 德思礼,he2   de2 si1 li3,7
12343,和 拉文德,he2   la1 wen2 de2,7
12426,布斯巴顿 和 德姆斯特朗 的,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3   de,7
12459,哈利 和 塞德里克,ha1 li4   he2   sai1 de2 li3 ke4,7
12718,弗雷德 说 着,fu2 lei2 de2   shuo1   zhe,7
12853,在 德思礼,zai4   de2 si1 li3,7
13178,着 里德尔,zhe   li3 de2 er3,6
13185,塞德里克 是,sai1 de2 li3 ke4   shi4,6
13187,塞德里克 的 尸体,sai1 de2 li3 ke4   de   shi1 ti3,6
13192,塞德里克•迪戈 里 的,sai1 de2 li3 ke4 • di2 ge1   li3   de,6
13262,离开 德思礼家,li2 kai1   de2 si1 li3 jia1,6
14030,帕瓦蒂 和 拉文德,pa4 wa3 di4   he2   la1 wen2 de2,6
14252,霍格莫德 的,huo4 ge2 mo4 de2   de,6
