Order Number,Item,Pinyin,Frequency
378,可怕 的,ke3 pa4   de,93
3740,害怕 的,hai4 pa4   de,18
5524,可怕 的 事情,ke3 pa4   de   shi4 qing2,13
6516,种 可怕 的,zhong3   ke3 pa4   de,11
6518,种 可怕,zhong3   ke3 pa4,11
6900,最 害怕,zui4   hai4 pa4,11
7070,的 可怕,de   ke3 pa4,11
7354,太 可怕,tai4   ke3 pa4,10
8331,太 可怕 了,tai4   ke3 pa4   le,9
8806,可怕 了,ke3 pa4   le,9
9041,一 种 可怕,yi1   zhong3   ke3 pa4,9
9047,一 种 可怕 的,yi1   zhong3   ke3 pa4   de,9
9220,很 害怕,hen3   hai4 pa4,9
9365,最 可怕,zui4   ke3 pa4,8
10323,最 可怕 的,zui4   ke3 pa4   de,8
11184,一 个 可怕,yi1   ge4   ke3 pa4,7
11186,一 个 可怕 的,yi1   ge4   ke3 pa4   de,7
11281,害怕 了,hai4 pa4   le,7
12023,个 可怕,ge4   ke3 pa4,7
12025,个 可怕 的,ge4   ke3 pa4   de,7
12342,最 害怕 的,zui4   hai4 pa4   de,7
13211,声 可怕,sheng1   ke3 pa4,6
13212,声 可怕 的,sheng1   ke3 pa4   de,6
14258,非常 可怕,fei1 chang2   ke3 pa4,6
15177,更 可怕,geng4   ke3 pa4,6
15717,一 声 可怕,yi1   sheng1   ke3 pa4,6
15742,一 声 可怕 的,yi1   sheng1   ke3 pa4   de,6
17032,好像 生怕,hao3 xiang4   sheng1 pa4,5
17311,害怕 什么,hai4 pa4   shen2 me,5
18224,非常 害怕,fei1 chang2   hai4 pa4,5
18454,怕 他,pa4   ta1,5
18478,恐怕 不,kong3 pa4   bu4,5
