Order Number,Item,Pinyin,Frequency
1655,恶狠狠 地,e4 hen3 hen3   di4,33
3793,厌恶 地,yan4 wu4   di4,17
4155,人 恶心,ren2   e3 xin1,16
4326,恶作剧 的,e4 zuo4 ju4   de,16
5322,邪恶 的,xie2 e4   de,13
5392,恶心 的,e3 xin1   de,13
5740,令 人 恶心,ling4   ren2   e3 xin1,13
6032,厌恶 的,yan4 wu4   de,12
6037,人 恶心 的,ren2   e3 xin1   de,12
6160,搞 恶作剧,gao3   e4 zuo4 ju4,12
6828,搞 恶作剧 的,gao3   e4 zuo4 ju4   de,11
7514,恶毒 的,e4 du2   de,10
8047,令 人 恶心 的,ling4   ren2   e3 xin1   de,10
8550,恶狠狠 地 说,e4 hen3 hen3   di4   shuo1,9
11719,专爱 搞 恶作剧,zhuan1 ai4   gao3   e4 zuo4 ju4,7
11721,专爱 搞 恶作剧 的,zhuan1 ai4   gao3   e4 zuo4 ju4   de,7
12350,最 邪恶 的,zui4   xie2 e4   de,7
12351,最 邪恶,zui4   xie2 e4,7
14426,恶作剧 的 幽灵,e4 zuo4 ju4   de   you1 ling2,6
14427,恶意 的,e4 yi4   de,6
14428,恶作剧 的 皮皮鬼,e4 zuo4 ju4   de   pi2 pi2 gui3,6
14558,厌恶 的 表情,yan4 wu4   de   biao3 qing2,6
19191,搞 恶作剧 的 皮皮鬼,gao3   e4 zuo4 ju4   de   pi2 pi2 gui3,5
20504,的 厌恶,de   yan4 wu4,5
