Order Number,Item,Pinyin,Frequency
669,吃惊 地,chi1 jing1   di4,63
1836,惊恐 地,jing1 kong3   di4,30
2560,惊恐 的,jing1 kong3   de,23
2742,惊讶 地,jing1 ya4   di4,22
3680,吃惊 的,chi1 jing1   de,18
5068,哈利 吃惊,ha1 li4   chi1 jing1,14
5080,吃惊 地 问,chi1 jing1   di4   wen4,14
5300,哈利 惊讶,ha1 li4   jing1 ya4,13
6126,吃 了 一 惊,chi1   le   yi1   jing1,12
6332,了 一 惊,le   yi1   jing1,12
6356,惊奇 地,jing1 qi2   di4,12
6380,惊醒 了,jing1 xing3   le,12
6420,一 惊,yi1   jing1,12
6941,哈利 吃惊 地,ha1 li4   chi1 jing1   di4,11
7089,很 吃惊,hen3   chi1 jing1,11
7519,惊呆 了,jing1 dai1   le,10
7520,惊愕 地,jing1 e4   di4,10
7551,感到 吃惊,gan3 dao4   chi1 jing1,10
7742,吃惊 的 是,chi1 jing1   de   shi4,10
8562,惊恐 的 表情,jing1 kong3   de   biao3 qing2,9
8563,惊讶 得,jing1 ya4   de2,9
8831,吃惊 地 张大,chi1 jing1   di4   zhang1 da4,9
9596,赫敏 吃惊,he4 min3   chi1 jing1,8
9648,罗恩 吃惊,luo2 en1   chi1 jing1,8
9907,惊人 的,jing1 ren2   de,8
9988,赫敏 吃惊 地,he4 min3   chi1 jing1   di4,8
10208,吃惊 地 张大 了,chi1 jing1   di4   zhang1 da4   le,8
10619,猛地 惊醒,meng3 di4   jing1 xing3,8
10782,非常 吃惊,fei1 chang2   chi1 jing1,8
11114,罗恩 吃惊 地,luo2 en1   chi1 jing1   di4,7
11736,惊愕 的,jing1 e4   de,7
11739,惊讶 极,jing1 ya4   ji2,7
11740,惊讶 极 了,jing1 ya4   ji2   le,7
11802,十分 震惊,shi2 fen1   zhen4 jing1,7
12163,吃惊 地 张大 了 嘴巴,chi1 jing1   di4   zhang1 da4   le   zui3 ba1,7
12395,有些 吃惊,you3 xie1   chi1 jing1,7
13307,大为 吃惊,da4 wei4   chi1 jing1,6
14243,震惊 地,zhen4 jing1   di4,6
14437,惊慌 地,jing1 huang1   di4,6
14440,惊讶 地 发现,jing1 ya4   di4   fa1 xian4,6
14441,惊讶 的,jing1 ya4   de,6
14841,他 吃惊,ta1   chi1 jing1,6
14999,吃惊 地 望,chi1 jing1   di4   wang4,6
15001,吃惊 地 望 着,chi1 jing1   di4   wang4   zhe,6
15002,吃惊 得,chi1 jing1   de2,6
15390,哈利 惊奇,ha1 li4   jing1 qi2,6
15392,哈利 惊奇 地,ha1 li4   jing1 qi2   di4,6
15395,哈利 惊讶 地,ha1 li4   jing1 ya4   di4,6
17937,都 吃惊,dou1   chi1 jing1,5
18233,非常 震惊,fei1 chang2   zhen4 jing1,5
18318,得 惊人,de2   jing1 ren2,5
18509,惊慌失措 的,jing1 huang1 shi1 cuo4   de,5
18511,惊讶 地 问,jing1 ya4   di4   wen4,5
19302,吃惊 地 发现,chi1 jing1   di4   fa1 xian4,5
19822,中 惊醒,zhong1   jing1 xing3,5
20049,都 吃惊 地,dou1   chi1 jing1   di4,5
20212,哈利惊恐 地,ha1 li4 jing1 kong3   di4,5
