Order Number,Item,Pinyin,Frequency
915,抬起 头,tai2 qi3   tou2,52
953,抬头 望,tai2 tou2   wang4,51
1018,抬头 望 着,tai2 tou2   wang4   zhe,48
1962,抬起 头 来,tai2 qi3   tou2   lai2,29
2059,抬头 看,tai2 tou2   kan4,28
2636,抬头 看 着,tai2 tou2   kan4   zhe,23
3827,哈利 抬头,ha1 li4   tai2 tou2,17
4333,他 抬头,ta1   tai2 tou2,16
5142,他 抬起,ta1   tai2 qi3,14
7182,地 抬头,di4   tai2 tou2,11
8132,地 抬头 望,di4   tai2 tou2   wang4,10
8136,地 抬头 望 着,di4   tai2 tou2   wang4   zhe,10
8755,抬头 望 着 哈利,tai2 tou2   wang4   zhe   ha1 li4,9
9226,他 抬起 头,ta1   tai2 qi3   tou2,9
10107,抬眼 望,tai2 yan3   wang4,8
12047,抬眼 望 着,tai2 yan3   wang4   zhe,7
12253,他 抬头 望,ta1   tai2 tou2   wang4,7
12255,他 抬头 望 着,ta1   tai2 tou2   wang4   zhe,7
12507,哈利 抬起,ha1 li4   tai2 qi3,7
12508,哈利 抬起 头,ha1 li4   tai2 qi3   tou2,7
13058,地 抬起,di4   tai2 qi3,7
14836,抬起 了,tai2 qi3   le,6
18504,一 抬头,yi1   tai2 tou2,5
19041,抬头 一 看,tai2 tou2   yi1   kan4,5
19042,抬头 一,tai2 tou2   yi1,5
19043,抬眼 看 着,tai2 yan3   kan4   zhe,5
19044,抬眼 看,tai2 yan3   kan4,5
19045,抬头 望 着 他,tai2 tou2   wang4   zhe   ta1,5
19046,抬 起来,tai2   qi3 lai2,5
19477,他 抬头 看 着,ta1   tai2 tou2   kan4   zhe,5
19478,他 抬头 看,ta1   tai2 tou2   kan4,5
19482,他 抬起 头 来,ta1   tai2 qi3   tou2   lai2,5
19967,哈利 抬头 望 着,ha1 li4   tai2 tou2   wang4   zhe,5
19968,哈利 抬头 望,ha1 li4   tai2 tou2   wang4,5
20998,地 抬起 头,di4   tai2 qi3   tou2,5
