Order Number,Item,Pinyin,Frequency
814,抱 着,bao4   zhe,56
3157,抱 着 一,bao4   zhe   yi1,20
5388,怀里 抱,huai2 li3   bao4,13
5688,怀里 抱 着,huai2 li3   bao4   zhe,13
6241,很 抱歉,hen3   bao4 qian4,12
7501,怀里 抱 着 一,huai2 li3   bao4   zhe   yi1,10
8757,抱 着 一 大,bao4   zhe   yi1   da4,9
12049,抱 着 一 大 堆,bao4   zhe   yi1   da4   dui1,7
14397,怀里 抱 着 一 大,huai2 li3   bao4   zhe   yi1   da4,6
16205,地 抱怨,di4   bao4 yuan4,6
19048,抱 着 双,bao4   zhe   shuang1,5
19052,抱怨 的,bao4 yuan4   de,5
19055,抱怨 说,bao4 yuan4   shuo1,5
19056,抱 着 双 臂,bao4   zhe   shuang1   bi4,5
