Order Number,Item,Pinyin,Frequency
375,克拉布 和,ke4 la1 bu4   he2,93
510,克拉布 和 高尔,ke4 la1 bu4   he2   gao1 er3,77
557,拉文 克劳,la1 wen2   ke4 lao2,72
2270,拉 了,la1   le,26
2966,拉 着,la1   zhe,21
4478,耷拉 着,da1 la1   zhe,15
4993,拉开 了,la1 kai1   le,14
5180,格拉普兰 教授,ge2 la1 pu3 lan2   jiao4 shou4,14
5493,拉文 克劳 的,la1 wen2   ke4 lao2   de,13
5787,克拉布 的,ke4 la1 bu4   de,13
6807,拉文 克劳 和,la1 wen2   ke4 lao2   he2,11
6871,他 拉,ta1   la1,11
6893,克拉布 和 高尔 的,ke4 la1 bu4   he2   gao1 er3   de,11
8726,把 他 拉,ba3   ta1   la1,9
10059,把 他 拉 了,ba3   ta1   la1   le,8
10273,他 拉 了,ta1   la1   le,8
11405,了 拉文,le   la1 wen2,7
11986,把 他 拉到,ba3   ta1   la1 dao4,7
12058,拉 了 起来,la1   le   qi3 lai2,7
12266,他 拉到,ta1   la1 dao4,7
12343,和 拉文德,he2   la1 wen2 de2,7
13438,了 拉文 克劳,le   la1 wen2   ke4 lao2,6
13697,对 克拉布,dui4   ke4 la1 bu4,6
13698,对 克拉布 和,dui4   ke4 la1 bu4   he2,6
13699,对 克拉布 和 高尔,dui4   ke4 la1 bu4   he2   gao1 er3,6
14030,帕瓦蒂 和 拉文德,pa4 wa3 di4   he2   la1 wen2 de2,6
14842,拉文 克劳 和 赫奇 帕奇,la1 wen2   ke4 lao2   he2   he4 qi2   pa4 qi2,6
14843,拉文 克劳 和 赫奇,la1 wen2   ke4 lao2   he2   he4 qi2,6
15935,在 拉文 克劳,zai4   la1 wen2   ke4 lao2,6
15936,在 拉文,zai4   la1 wen2,6
16270,地 耷拉,di4   da1 la1,5
16568,稀稀拉拉 的,xi1 xi1 la1 la1   de,5
16814,了 德拉科•马尔福,le   de2 la1 ke1 • ma3 er3 fu2,5
19076,拉文 克劳队,la1 wen2   ke4 lao2 dui4,5
19077,拉上 了,la1 shang4   le,5
