Order Number,Item,Pinyin,Frequency
1750,挥舞 着,hui1 wu3   zhe,32
2679,挥 了,hui1   le,23
4521,一 挥,yi1   hui1,15
4845,了 挥手,le   hui1 shou3,14
6816,挥 了 挥手,hui1   le   hui1 shou3,11
8821,挥动 着,hui1 dong4   zhe,9
9335,地 挥,di4   hui1,9
10136,挥 魔杖,hui1   mo2 zhang4,8
10137,挥挥 手,hui1 hui1   shou3,8
11429,了 挥,le   hui1,7
11770,一 挥 魔杖,yi1   hui1   mo2 zhang4,7
12078,挥 了 一下,hui1   le   yi1 xia4,7
14884,挥手 致意,hui1 shou3   zhi4 yi4,6
16210,地 挥 了,di4   hui1   le,6
19131,挥 了 挥,hui1   le   hui1,5
19516,他 挥手,ta1   hui1 shou3,5
19520,他 挥舞,ta1   hui1 wu3,5
21004,地 挥舞 着,di4   hui1 wu3   zhe,5
21005,地 挥舞,di4   hui1 wu3,5
21006,地 挥手,di4   hui1 shou3,5
