Order Number,Item,Pinyin,Frequency
3647,摆 着,bai3   zhe,18
3660,摆脱 了,bai3 tuo1   le,18
6887,摆动 着,bai3 dong4   zhe,11
8799,摆满 了,bai3 man3   le,9
10165,摆弄 着,bai3 nong4   zhe,8
10166,摆 着 一,bai3   zhe   yi1,8
12210,明摆 着,ming2 bai3   zhe,7
14925,摆 在,bai3   zai4,6
14928,摇摇摆摆 地,yao2 yao2 bai3 bai3   di4,6
18632,一 摆,yi1   bai3,5
19359,明摆 着 的,ming2 bai3   zhe   de,5
19505,是 明摆 着,shi4   ming2 bai3   zhe,5
19506,是 明摆 着 的,shi4   ming2 bai3   zhe   de,5
19507,是 明摆,shi4   ming2 bai3,5
20430,的 下摆,de   xia4 bai3,5
21011,地 摆动,di4   bai3 dong4,5
