Order Number,Item,Pinyin,Frequency
998,整 个,zheng3   ge4,49
2382,整整 一,zheng3 zheng3   yi1,25
4291,整整 一 个,zheng3 zheng3   yi1   ge4,16
4843,了 整,le   zheng3,14
5624,整 天,zheng3   tian1,13
6087,一 整,yi1   zheng3,12
6509,了 整整,le   zheng3 zheng3,11
6717,一 整 天,yi1   zheng3   tian1,11
9498,了 整 个,le   zheng3   ge4,8
9499,了 整整 一,le   zheng3 zheng3   yi1,8
10777,的 整个,de   zheng3 ge4,8
10778,在 整个,zai4   zheng3 ge4,8
12157,整个 暑假,zheng3 ge4   shu3 jia4,7
13487,了 整个,le   zheng3 ge4,6
19284,整 个 房间,zheng3   ge4   fang2 jian1,5
19285,整 个 夏天,zheng3   ge4   xia4 tian1,5
19290,整个 体育场,zheng3 ge4   ti3 yu4 chang3,5
19291,整整 一 年,zheng3 zheng3   yi1   nian2,5
19292,整个 身体,zheng3 ge4   shen1 ti3,5
19293,整 个 礼堂,zheng3   ge4   li3 tang2,5
