Order Number,Item,Pinyin,Frequency
798,显得 很,xian3 de   hen3,57
1826,显得 非常,xian3 de   fei1 chang2,31
1910,幻影 显形,huan4 ying3   xian3 xing2,30
1918,显然 是,xian3 ran2   shi4,30
2547,显得 有些,xian3 de   you3 xie1,24
4259,他 显得,ta1   xian3 de,16
4369,显得 十分,xian3 de   shi2 fen1,16
4857,都 显得,dou1   xian3 de,14
6288,明显 了,ming2 xian3   le,12
6891,他 显然,ta1   xian3 ran2,11
7800,显得 更,xian3 de   geng4,10
8249,她 显得,ta1   xian3 de,9
8647,赫敏 显得,he4 min3   xian3 de,9
8904,显得 有点儿,xian3 de   you3 dian3 er2,9
10232,明显 的,ming2 xian3   de,8
10305,显得 很 不,xian3 de   hen3   bu4,8
10307,显得 有点,xian3 de   you3 dian3,8
10308,显然 是 在,xian3 ran2   shi4   zai4,8
10317,更 明显,geng4   ming2 xian3,8
11005,声音 显得,sheng1 yin1   xian3 de,7
12312,显得 比,xian3 de   bi3,7
12313,显得 特别,xian3 de   te4 bie2,7
12314,显然 不,xian3 ran2   bu4,7
12316,显示 出,xian3 shi4   chu1,7
12333,更 明显 了,geng4   ming2 xian3   le,7
12783,他们 显然,ta1 men   xian3 ran2,7
13419,罗恩 显然,luo2 en1   xian3 ran2,6
13586,突然 显得,tu1 ran2   xian3 de,6
15166,显得 格外,xian3 de   ge2 wai4,6
15169,显然 在,xian3 ran2   zai4,6
15170,显得 非常 紧张,xian3 de   fei1 chang2   jin3 zhang1,6
15787,也 显得,ye3   xian3 de,6
16177,会 显得,hui4   xian3 de,6
16430,但 显然,dan4   xian3 ran2,5
16519,神情 显得,shen2 qing2   xian3 de,5
16832,罗恩 显得,luo2 en1   xian3 de,5
17295,语气 显得,yu3 qi4   xian3 de,5
17651,就 显得,jiu4   xian3 de,5
17951,幻影 显形 的,huan4 ying3   xian3 xing2   de,5
19584,显形 的,xian3 xing2   de,5
19587,显得 不,xian3 de   bu4,5
19593,显然 很,xian3 ran2   hen3,5
