Order Number,Item,Pinyin,Frequency
11,有 一,you3   yi1,560
36,还 有,hai2   you3,404
66,有 人,you3   ren2,288
98,也 没有,ye3   mei2 you3,220
125,有 一 个,you3   yi1   ge4,186
165,有 什么,you3   shen2 me,160
170,只 有,zhi3   you3,157
238,所有 的,suo3 you3   de,128
247,还 没有,hai2   mei2 you3,125
254,没有 人,mei2 you3   ren2,123
284,他 没有,ta1   mei2 you3,113
306,会 有,hui4   you3,109
369,从来 没有,cong2 lai2   mei2 you3,94
397,我 没有,wo3   mei2 you3,90
432,还 有 一,hai2   you3   yi1,85
609,都 没有,dou1   mei2 you3,68
625,哈利 没有,ha1 li4   mei2 you3,67
642,有 了,you3   le,65
691,有 几,you3   ji3,62
714,有 两,you3   liang3,61
747,没有 一,mei2 you3   yi1,59
748,马身 有,ma3 shen1   you3,59
760,并 没有,bing4   mei2 you3,59
776,都 有,dou1   you3,58
833,头 马身 有,tou2   ma3 shen1   you3,55
863,里 有,li3   you3,54
879,我 有,wo3   you3,53
905,鹰 头 马身 有,ying1   tou2   ma3 shen1   you3,52
949,很 有,hen3   you3,51
999,就 没有,jiu4   mei2 you3,49
1023,马身 有 翼,ma3 shen1   you3   yi4,48
1032,你 有,ni3   you3,48
1045,有 翼,you3   yi4,48
1048,也 有,ye3   you3,48
1051,又 有,you4   you3,47
1075,只 有 一,zhi3   you3   yi1,47
1076,就 有,jiu4   you3,46
1085,有 个,you3   ge4,46
1109,头 马身 有 翼,tou2   ma3 shen1   you3   yi4,45
1115,你 没有,ni3   mei2 you3,45
1126,有 谁,you3   shui2,45
1128,有 一 种,you3   yi1   zhong3,45
1161,不 会 有,bu4   hui4   you3,44
1175,有 许多,you3   xu3 duo1,44
1188,鹰 头 马身 有 翼,ying1   tou2   ma3 shen1   you3   yi4,43
1200,有 一些,you3   yi1 xie1,43
1210,上 有,shang4   you3,42
1239,有 人 在,you3   ren2   zai4,42
1254,有 翼 兽,you3   yi4   shou4,41
1283,马身 有 翼 兽,ma3 shen1   you3   yi4   shou4,41
1291,他 有,ta1   you3,40
1310,是 有,shi4   you3,40
1369,头 马身 有 翼 兽,tou2   ma3 shen1   you3   yi4   shou4,39
1392,没有 看见,mei2 you3   kan4 jian4,38
1413,没有 把,mei2 you3   ba3,38
1454,没有 什么,mei2 you3   shen2 me,37
1487,鹰 头 马身 有 翼 兽,ying1   tou2   ma3 shen1   you3   yi4   shou4,37
1488,没有 一 个,mei2 you3   yi1   ge4,37
1502,根本 没有,gen1 ben3   mei2 you3,36
1550,还 有 一 个,hai2   you3   yi1   ge4,35
1564,没有 注意,mei2 you3   zhu4 yi4,35
1589,有 可能,you3   ke3 neng2,35
1703,谁 也 没有,shui2   ye3   mei2 you3,33
1706,他们 没有,ta1 men   mei2 you3,33
1727,有 一 只,you3   yi1   zhi3,32
1829,什么 也 没有,shen2 me   ye3   mei2 you3,31
1857,我们 没有,wo3 men   mei2 you3,30
1893,没有 说话,mei2 you3   shuo1 hua4,30
1920,已经 有,yi3 jing1   you3,29
1966,好像 有,hao3 xiang4   you3,29
2041,的 所有,de   suo3 you3,28
2053,没 有,mei2   you3,28
2087,如果 有,ru2 guo3   you3,28
2241,所有 的 人,suo3 you3   de   ren2,26
2250,有些 人,you3 xie1   ren2,26
2256,有 几 个,you3   ji3   ge4,26
2274,有趣 的,you3 qu4   de,26
2280,没有 被,mei2 you3   bei4,26
2299,有 两 个,you3   liang3   ge4,26
2314,没有 了,mei2 you3   le,26
2322,有 一 次,you3   yi1   ci4,25
2378,没有 回答,mei2 you3   hui2 da2,25
2379,有 三,you3   san1,25
2380,没有 注意 到,mei2 you3   zhu4 yi4   dao4,25
2392,有 他,you3   ta1,25
2461,一直 没有,yi4 zhi2   mei2 you3,24
2526,里 有 一,li3   you3   yi1,24
2547,显得 有些,xian3 de   you3 xie1,24
2594,哈利 有,ha1 li4   you3,23
2624,有 没 有,you3   mei2   you3,23
2625,有 没,you3   mei2,23
2701,我们 有,wo3 men   you3,23
2718,只 有 一 个,zhi3   you3   yi1   ge4,23
2820,若有所思 地,ruo4 you3 suo3 si1   di4,22
2882,里 没有,li3   mei2 you3,21
2967,有 多,you3   duo1,21
3060,有 过,you3   guo4,21
3109,有用 的,you3 yong4   de,20
3160,有 你,you3   ni3,20
3201,没有 别的,mei2 you3   bie2 de,20
3256,是 没有,shi4   mei2 you3,20
3305,罗恩 没有,luo2 en1   mei2 you3,19
3361,没有 丝毫,mei2 you3   si1 hao2,19
3382,上 有 一,shang4   you3   yi1,19
3426,没有 这么,mei2 you3   zhe4 me,19
3453,没有 一 个 人,mei2 you3   yi1   ge4   ren2,19
3466,几乎 没有,ji1 hu1   mei2 you3,19
3477,所有 的 人 都,suo3 you3   de   ren2   dou1,19
3520,有 的,you3   de,18
3587,总 有,zong3   you3,18
3596,你 有没有,ni3   you3 mei2 you3,18
3633,至少 有,zhi4 shao3   you3,18
3657,没有 办法,mei2 you3   ban4 fa3,18
3677,有 着,you3   zhe,18
3769,有 办法,you3   ban4 fa3,17
3845,没有 听见,mei2 you3   ting1 jian4,17
3846,好像 有 人,hao3 xiang4   you3   ren2,17
3855,似乎 没有,si4 hu1   mei2 you3,17
3859,有 事,you3   shi4,17
3888,有 那么,you3   na4 me,17
3891,没有 想到,mei2 you3   xiang3 dao4,17
3898,她 没有,ta1   mei2 you3,17
3918,没有 多少,mei2 you3   duo1 shao3,17
3972,上面 有,shang4 mian4   you3,17
3973,还 有 什么,hai2   you3   shen2 me,17
4064,有 一 张,you3   yi1   zhang1,16
4071,有 十,you3   shi2,16
4075,有 机会,you3   ji1 hui4,16
4102,有 那,you3   na4,16
4150,没有 动,mei2 you3   dong4,16
4151,没有 发现,mei2 you3   fa1 xian4,16
4154,没有 时间,mei2 you3   shi2 jian1,16
4162,有 些,you3   xie1,16
4172,它 没有,ta1   mei2 you3,16
4174,能 有,neng2   you3,16
4218,但 没有,dan4   mei2 you3,16
4281,就 好像 有,jiu4   hao3 xiang4   you3,16
4288,没有 理睬,mei2 you3   li3 cai3,16
4363,会 有 人,hui4   you3   ren2,16
4394,有 一 大,you3   yi1   da4,15
4402,有 什么 东西,you3   shen2 me   dong1 xi1,15
4403,有 什么 用,you3   shen2 me   yong4,15
4405,有 几 个 人,you3   ji3   ge4   ren2,15
4412,更 有,geng4   you3,15
4470,有 一 条,you3   yi1   tiao2,15
4582,只要 有,zhi3 yao4   you3,15
4725,会 有 事,hui4   you3   shi4,15
4756,有 一 件,you3   yi1   jian4,14
4770,有 这,you3   zhe4,14
4772,有 这么,you3   zhe4 me,14
4838,再 有,zai4   you3,14
4855,有 一 股,you3   yi1   gu3,14
4868,如果 有 人,ru2 guo3   you3   ren2,14
4942,却 没有,que4   mei2 you3,14
4969,不 会 有 事,bu4   hui4   you3   shi4,14
5033,就 有 一,jiu4   you3   yi1,14
5065,还 有 两,hai2   you3   liang3,14
