Order Number,Item,Pinyin,Frequency
338,朝 他,chao2   ta1,101
471,地 朝,di4   chao2,81
634,朝 哈利,chao2   ha1 li4,66
692,朝 他们,chao2   ta1 men,62
1540,他 朝,ta1   chao2,36
2596,哈利 朝,ha1 li4   chao2,23
4238,朝 城堡,chao2   cheng2 bao3,16
4243,朝 她,chao2   ta1,16
4896,她 朝,ta1   chao2,14
5318,在 朝,zai4   chao2,13
6205,朝 城堡 走去,chao2   cheng2 bao3   zou3 qu4,12
6607,脸 朝下,lian3   chao2 xia4,11
7014,他们 朝,ta1 men   chao2,11
7197,地 朝 哈利,di4   chao2   ha1 li4,10
7620,又 朝,you4   chao2,10
7874,正 朝,zheng4   chao2,10
8159,地 朝 他,di4   chao2   ta1,9
8160,地 朝 他们,di4   chao2   ta1 men,9
8244,朝 马尔福,chao2   ma3 er3 fu2,9
8961,朝 门口,chao2   men2 kou3,9
9258,一边 朝,yi1 bian1   chao2,9
9476,朝 楼梯,chao2   lou2 ti1,8
9481,朝 邓布,chao2   deng4 bu4,8
9631,头 朝,tou2   chao2,8
9640,转身 朝,zhuan3 shen1   chao2,8
9792,径直 朝,jing4 zhi2   chao2,8
10381,朝 一,chao2   yi1,8
10383,朝 他们 走来,chao2   ta1 men   zou3 lai2,8
10388,朝 邓布 利多,chao2   deng4 bu4   li4 duo1,8
11060,着 朝,zhe   chao2,7
11061,大步 朝,da4 bu4   chao2,7
12414,朝 它,chao2   ta1,7
12415,朝 房间,chao2   fang2 jian1,7
12417,朝 海格,chao2   hai3 ge2,7
12418,朝 礼堂,chao2   li3 tang2,7
12423,朝前 走,chao2 qian2   zou3,7
13856,一瘸一拐地 朝,yi1 que2 yi1 guai3 di4   chao2,6
14298,飞快 地 朝,fei1 kuai4   di4   chao2,6
14394,快步 朝,kuai4 bu4   chao2,6
14765,把 头 朝,ba3   tou2   chao2,6
15180,他 朝 哈利,ta1   chao2   ha1 li4,6
15289,朝 他 这边,chao2   ta1   zhe4 bian1,6
15291,朝 他 飞来,chao2   ta1   fei1 lai2,6
15295,朝 礼堂 走去,chao2   li3 tang2   zou3 qu4,6
15296,朝 门厅,chao2   men2 ting1,6
15298,朝 韦斯莱,chao2   wei2 si1 lai2,6
15498,都 朝,dou1   chao2,6
15794,也 朝,ye3   chao2,6
16285,眼睛 朝,yan3 jing1   chao2,5
16623,突然 朝,tu1 ran2   chao2,5
16797,头 朝下,tou2   chao2 xia4,5
17052,草坪 朝,cao3 ping2   chao2,5
18029,开始 朝,kai1 shi3   chao2,5
18327,魔杖 朝,mo2 zhang4   chao2,5
18550,东西 朝,dong1 xi1   chao2,5
19754,朝 他 逼近,chao2   ta1   bi1 jin4,5
19755,朝 下面,chao2   xia4 mian4,5
19760,朝 四,chao2   si4,5
19761,朝 房间 那,chao2   fang2 jian1   na4,5
19763,朝 旁边,chao2   pang2 bian1,5
19764,朝 这边,chao2   zhe4 bian1,5
19765,朝 空中,chao2   kong1 zhong1,5
19766,朝 房间 那 头,chao2   fang2 jian1   na4   tou2,5
19768,朝 那,chao2   na4,5
19769,朝 里面,chao2   li3 mian4,5
19772,朝 门口 走去,chao2   men2 kou3   zou3 qu4,5
19775,朝格兰芬 多,chao2 ge2 lan2 fen1   duo1,5
20171,海格 朝,hai3 ge2   chao2,5
