Order Number,Item,Pinyin,Frequency
5243,未成年 巫师,wei4 cheng2 nian2   wu1 shi1,13
7280,未成年 巫师 加以 合理,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7281,未成年 巫师 加以,wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7350,对 未成年,dui4   wei4 cheng2 nian2,10
7351,对 未成年 巫师 加以 合理,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7653,对 未成年 巫师 加以,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7694,拨开 迷雾 看 未来,bo1 kai1   mi2 wu4   kan4   wei4 lai2,10
7709,对 未成年 巫师,dui4   wei4 cheng2 nian2   wu1 shi1,10
7816,迷雾 看 未来,mi2 wu4   kan4   wei4 lai2,10
8134,看 未来,kan4   wei4 lai2,10
9984,对 未成年 巫师 加以 合理 约束法,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10390,未成年 巫师 加以 合理 约束法,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
11747,前所未有 的,qian2 suo3 wei4 you3   de,7
