Order Number,Item,Pinyin,Frequency
704,的 耳朵,de   er3 duo3,61
2597,耳朵 里,er3 duo3   li3,23
4434,他 的 耳朵,ta1   de   er3 duo3,15
5675,哈利 的 耳朵,ha1 li4   de   er3 duo3,13
5871,自己 的 耳朵,zi4 ji3   de   er3 duo3,12
6793,把 耳朵,ba3   er3 duo3,11
10846,的 耳朵 里,de   er3 duo3   li3,8
11023,不 敢 相信 自己 的 耳朵,bu4   gan3   xiang1 xin4   zi4 ji3   de   er3 duo3,7
12148,敢 相信 自己 的 耳朵,gan3   xiang1 xin4   zi4 ji3   de   er3 duo3,7
13052,相信 自己 的 耳朵,xiang1 xin4   zi4 ji3   de   er3 duo3,7
13299,竖起 耳朵,shu4 qi3   er3 duo3,6
14858,只 耳朵,zhi3   er3 duo3,6
16265,了 他 的 耳朵,le   ta1   de   er3 duo3,5
16392,着 耳朵,zhe   er3 duo3,5
16642,大 耳朵,da4   er3 duo3,5
16840,罗恩 的 耳朵,luo2 en1   de   er3 duo3,5
16903,耳朵 上,er3 duo3   shang4,5
