Order Number,Item,Pinyin,Frequency
46,了 起来,le   qi3 lai2,368
129,了 出来,le   chu1 lai2,184
176,了 下来,le   xia4 lai2,155
187,来 了,lai2   le,149
335,回来 了,hui2 lai2   le,101
351,出来 的,chu1 lai2   de,99
364,站 了 起来,zhan4   le   qi3 lai2,95
369,从来 没有,cong2 lai2   mei2 you3,94
415,站 起来,zhan4   qi3 lai2,87
482,出来 了,chu1 lai2   le,80
541,来 的,lai2   de,74
564,我 来,wo3   lai2,72
688,了 过来,le   guo4 lai2,62
763,传来 一,chuan2 lai2   yi1,58
781,了 进来,le   jin4 lai2,57
974,坐 了 下来,zuo4   le   xia4 lai2,50
980,身 来,shen1   lai2,50
990,来 吧,lai2   ba,49
1039,头 来,tou2   lai2,48
1094,下来 的,xia4 lai2   de,46
1169,起来 了,qi3 lai2   le,44
1276,来 得,lai2   de2,41
1336,话 来,hua4   lai2,39
1364,来 看,lai2   kan4,39
1478,从来 没,cong2 lai2   mei2,37
1490,来到 了,lai2 dao4   le,37
1544,来 得 及,lai2   de2   ji2,36
1636,他们 来到,ta1 men   lai2 dao4,34
1654,这里 来,zhe4 li3   lai2,33
1675,要 来,yao4   lai2,33
1735,这儿 来,zhe4 er2   lai2,32
1769,坐 下来,zuo4   xia4 lai2,31
1866,年 来,nian2   lai2,30
1962,抬起 头 来,tai2 qi3   tou2   lai2,29
2089,停 下来,ting2   xia4 lai2,28
2103,传来 了,chuan2 lai2   le,27
2118,他 来,ta1   lai2,27
2125,笑 了 起来,xiao4   le   qi3 lai2,27
2141,没 来,mei2   lai2,27
2177,来 不,lai2   bu4,27
2197,气 来,qi4   lai2,27
2232,过来 了,guo4 lai2   le,26
2296,从来 不,cong2 lai2   bu4,26
2336,来 不 及,lai2   bu4   ji2,25
2344,人 来,ren2   lai2,25
2360,你 来,ni3   lai2,25
2386,冒 了 出来,mao4   le   chu1 lai2,25
2418,安静 下来,an1 jing4   xia4 lai2,25
2434,过 气 来,guo4   qi4   lai2,24
2595,过来 的,guo4 lai2   de,23
2619,里 传来,li3   chuan2 lai2,23
2645,转过 身 来,zhuan3 guo4   shen1   lai2,23
2647,尖叫 起来,jian1 jiao4   qi3 lai2,23
2649,不 过 气 来,bu4   guo4   qi4   lai2,23
2680,原来 是,yuan2 lai2   shi4,23
2741,就 来,jiu4   lai2,22
2752,来 找,lai2   zhao3,22
2760,会 来,hui4   lai2,22
2779,脸 来,lian3   lai2,22
2801,回来 的,hui2 lai2   de,22
2849,接下来 的,jie1 xia4 lai2   de,22
2865,走 了 进来,zou3   le   jin4 lai2,22
2875,传来 一 阵,chuan2 lai2   yi1   zhen4,22
2920,进来 的,jin4 lai2   de,21
2950,到 这里 来,dao4   zhe4 li3   lai2,21
2962,喘 不 过 气 来,chuan3   bu4   guo4   qi4   lai2,21
2991,得 出来,de2   chu1 lai2,21
3008,留 下来,liu2   xia4 lai2,21
3026,来 一,lai2   yi1,21
3065,原来 的,yuan2 lai2   de,21
3076,想 起来,xiang3   qi3 lai2,21
3100,他 从来,ta1   cong2 lai2,20
3218,出 话 来,chu1   hua4   lai2,20
3249,带来 了,dai4 lai2   le,20
3293,来到 一,lai2 dao4   yi1,19
3306,跳 了 起来,tiao4   le   qi3 lai2,19
3312,进来 了,jin4 lai2   le,19
3317,没 来 得 及,mei2   lai2   de2   ji2,19
3330,我 从来,wo3   cong2 lai2,19
3337,坐 了 起来,zuo4   le   qi3 lai2,19
3343,没 来 得,mei2   lai2   de2,19
3347,跟 我 来,gen1   wo3   lai2,19
3367,越来越 近,yue4 lai2 yue4   jin4,19
3369,来 不 及 了,lai2   bu4   ji2   le,19
3374,走 过来,zou3   guo4 lai2,19
3438,起来 的,qi3 lai2   de,19
3517,不 出来,bu4   chu1 lai2,18
3539,了 回来,le   hui2 lai2,18
3591,跳 起来,tiao4   qi3 lai2,18
3603,下来 了,xia4 lai2   le,18
3605,说 不 出 话 来,shuo1   bu4   chu1   hua4   lai2,18
3673,不 出 话 来,bu4   chu1   hua4   lai2,18
3706,里 出来,li3   chu1 lai2,18
3878,身后 传来,shen1 hou4   chuan2 lai2,17
3952,摔 下来,shuai1   xia4 lai2,17
4019,他们 走来,ta1 men   zou3 lai2,17
4043,了 上来,le   shang4 lai2,17
4055,传来 一 声,chuan2 lai2   yi1   sheng1,16
4385,他 来到,ta1   lai2 dao4,15
4433,突然 传来,tu1 ran2   chuan2 lai2,15
4436,笑 起来,xiao4   qi3 lai2,15
4464,不 来,bu4   lai2,15
4472,再 来,zai4   lai2,15
4537,上 下来,shang4   xia4 lai2,15
4601,也 来,ye3   lai2,15
4627,逃 出来,tao2   chu1 lai2,15
4742,传来 一 个,chuan2 lai2   yi1   ge4,14
4794,来 过,lai2   guo4,14
4899,快 来,kuai4   lai2,14
4917,剩 下来 的,sheng4   xia4 lai2   de,14
5022,还 没 来,hai2   mei2   lai2,14
5024,还 没 来 得 及,hai2   mei2   lai2   de2   ji2,14
5035,冒 出来,mao4   chu1 lai2,14
5037,剩 下来,sheng4   xia4 lai2,14
5060,发 出来,fa1   chu1 lai2,14
5067,来 找 我,lai2   zhao3   wo3,14
5074,还 没 来 得,hai2   mei2   lai2   de2,14
5123,到 这儿 来,dao4   zhe4 er2   lai2,14
5148,他 回来,ta1   hui2 lai2,14
5223,已经 来,yi3 jing1   lai2,13
5258,来 望,lai2   wang4,13
5269,站起 身 来,zhan4 qi3   shen1   lai2,13
5443,我 本来,wo3   ben3 lai2,13
5457,走 了 出来,zou3   le   chu1 lai2,13
