Order Number,Item,Pinyin,Frequency
4222,床头柜 上,chuang2 tou2 gui4   shang4,16
6949,柜子 里,gui4 zi   li3,11
11010,碗柜 里,wan3 gui4   li3,7
11213,衣柜 里,yi1 gui4   li3,7
11522,床头柜 上 的,chuang2 tou2 gui4   shang4   de,7
12887,的 柜子,de   gui4 zi,7
14952,放 在 床头柜 上,fang4   zai4   chuang2 tou2 gui4   shang4,6
14953,放 在 床头柜,fang4   zai4   chuang2 tou2 gui4,6
15911,在 床头柜 上,zai4   chuang2 tou2 gui4   shang4,6
15913,在 床头柜,zai4   chuang2 tou2 gui4,6
16027,的 碗柜,de   wan3 gui4,6
16030,在 衣柜,zai4   yi1 gui4,6
17091,衣柜 的,yi1 gui4   de,5
19852,柜台 上,gui4 tai2   shang4,5
20844,的 衣柜,de   yi1 gui4,5
