Order Number,Item,Pinyin,Frequency
3005,树林 里,shu4 lin2   li3,21
4450,棵 树,ke1   shu4,15
5615,树蜂 的,shu4 feng1   de,13
5744,的 树丛,de   shu4 cong2,13
6170,一 棵 树,yi1   ke1   shu4,12
6370,在 树林,zai4   shu4 lin2,12
6967,那 棵树,na4   ke1 shu4,11
8585,匈牙利 树蜂,xiong1 ya2 li4   shu4 feng1,9
8987,树 上,shu4   shang4,9
9243,在 树林 里,zai4   shu4 lin2   li3,9
9245,的 树枝,de   shu4 zhi1,9
10791,的 树篱,de   shu4 li2,8
11823,从 树,cong2   shu4,7
12464,树丛 中,shu4 cong2   zhong1,7
12466,根 树枝,gen1   shu4 zhi1,7
12882,在 树,zai4   shu4,7
12888,的 树林,de   shu4 lin2,7
15360,树丛 里,shu4 cong2   li3,6
15635,片 树丛,pian4   shu4 cong2,6
15965,的 树木,de   shu4 mu4,6
18235,非洲 树,fei1 zhou1   shu4,5
18650,从 树林,cong2   shu4 lin2,5
18655,从 树丛,cong2   shu4 cong2,5
19324,一 棵 树 上,yi1   ke1   shu4   shang4,5
19861,树 下,shu4   xia4,5
19862,树 后,shu4   hou4,5
19904,棵 树 上,ke1   shu4   shang4,5
20669,的 树干,de   shu4 gan4,5
20670,的 树梢,de   shu4 shao1,5
20671,的 树丛 里,de   shu4 cong2   li3,5
20673,在 树篱,zai4   shu4 li2,5
