Order Number,Item,Pinyin,Frequency
412,学校 的,xue2 xiao4   de,87
530,魔法 学校,mo2 fa3   xue2 xiao4,75
961,学校 里,xue2 xiao4   li3,50
1261,在 学校,zai4   xue2 xiao4,41
2071,霍格沃茨 魔法 学校,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4,28
2213,全 校,quan2   xiao4,26
2292,在 学校 里,zai4   xue2 xiao4   li3,26
2866,魔法 学校 的,mo2 fa3   xue2 xiao4   de,22
3391,个 学校,ge4   xue2 xiao4,19
3467,在 魔法 学校,zai4   mo2 fa3   xue2 xiao4,19
3468,在 魔法 学校 的,zai4   mo2 fa3   xue2 xiao4   de,19
3650,哈利 在 魔法 学校,ha1 li4   zai4   mo2 fa3   xue2 xiao4,18
3744,哈利 在 魔法 学校 的,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de,18
4159,的 校长,de   xiao4 zhang3,16
4551,所 学校,suo3   xue2 xiao4,15
5273,了 学校,le   xue2 xiao4,13
5616,校 医院,xiao4   yi1 yuan4,13
5810,违反 校规,wei2 fan3   xiao4 gui1,12
5974,全 校 师生,quan2   xiao4   shi1 sheng1,12
6224,校 师生,xiao4   shi1 sheng1,12
6294,霍格沃茨 学校,huo4 ge2 wo4 ci2   xue2 xiao4,12
7312,学校 开除,xue2 xiao4   kai1 chu2,10
7313,学校 的 好,xue2 xiao4   de   hao3,10
7471,学校 的 好 朋友,xue2 xiao4   de   hao3   peng2 you3,10
7637,回 学校,hui2   xue2 xiao4,10
7770,这 所 学校,zhe4   suo3   xue2 xiao4,10
7775,是 学校,shi4   xue2 xiao4,10
7858,哈利 在 魔法 学校 的 好,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de   hao3,10
8024,的 学校,de   xue2 xiao4,10
8038,在 魔法 学校 的 好,zai4   mo2 fa3   xue2 xiao4   de   hao3,10
8100,在 魔法 学校 的 好 朋友,zai4   mo2 fa3   xue2 xiao4   de   hao3   peng2 you3,10
8117,魔法 学校 的 好 朋友,mo2 fa3   xue2 xiao4   de   hao3   peng2 you3,10
8119,魔法 学校 的 好,mo2 fa3   xue2 xiao4   de   hao3,10
8282,学校 的 同学,xue2 xiao4   de   tong2 xue2,9
8284,学校 里 的,xue2 xiao4   li3   de,9
9007,魔法 学校 的 同学,mo2 fa3   xue2 xiao4   de   tong2 xue2,9
9291,在 魔法 学校 的 同学,zai4   mo2 fa3   xue2 xiao4   de   tong2 xue2,9
9804,霍格沃茨 魔法 学校 校长,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4   xiao4 zhang3,8
9819,学校 校长,xue2 xiao4   xiao4 zhang3,8
10426,哈利 在 魔法 学校 的 同学,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de   tong2 xue2,8
10904,魔法 学校 校长,mo2 fa3   xue2 xiao4   xiao4 zhang3,8
11242,学校 的 勇士,xue2 xiao4   de   yong3 shi4,7
11639,学校 去,xue2 xiao4   qu4,7
11999,把 学校,ba3   xue2 xiao4,7
12207,一 段 校史,yi1   duan4   xiao4 shi3,7
12511,段 校史,duan4   xiao4 shi3,7
12885,在 校外,zai4   xiao4 wai4,7
13888,这 个 学校,zhe4   ge4   xue2 xiao4,6
14897,个 学校 的,ge4   xue2 xiao4   de,6
15096,是 学校 的,shi4   xue2 xiao4   de,6
15362,校外 使用 魔法,xiao4 wai4   shi3 yong4   mo2 fa3,6
15363,校外 使用,xiao4 wai4   shi3 yong4,6
15823,在 全 校,zai4   quan2   xiao4,6
15960,在 校外 使用,zai4   xiao4 wai4   shi3 yong4,6
15961,在 校外 使用 魔法,zai4   xiao4 wai4   shi3 yong4   mo2 fa3,6
16089,在 霍格沃茨 魔法 学校,zai4   huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4,6
17102,被 学校 开除,bei4   xue2 xiao4   kai1 chu2,5
17160,学校 副校长,xue2 xiao4   fu4 xiao4 zhang3,5
17168,学校 黑 魔法 防御,xue2 xiao4   hei1   mo2 fa3   fang2 yu4,5
17169,学校 黑 魔法,xue2 xiao4   hei1   mo2 fa3,5
17170,学校 黑,xue2 xiao4   hei1,5
17177,学校 黑 魔法 防御 术 课,xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4   ke4,5
17182,学校 黑 魔法 防御 术,xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4,5
17779,全 校 同学,quan2   xiao4   tong2 xue2,5
18156,被 学校,bei4   xue2 xiao4,5
18335,魔法 学校 副校长,mo2 fa3   xue2 xiao4   fu4 xiao4 zhang3,5
18339,魔法 学校 黑,mo2 fa3   xue2 xiao4   hei1,5
18340,魔法 学校 黑 魔法 防御,mo2 fa3   xue2 xiao4   hei1   mo2 fa3   fang2 yu4,5
18341,魔法 学校 黑 魔法 防御 术,mo2 fa3   xue2 xiao4   hei1   mo2 fa3   fang2 yu4   shu4,5
18342,魔法 学校 黑 魔法,mo2 fa3   xue2 xiao4   hei1   mo2 fa3,5
18456,到 学校,dao4   xue2 xiao4,5
19867,校 同学,xiao4   tong2 xue2,5
19868,校 的,xiao4   de,5
19871,校长 的,xiao4 zhang3   de,5
19872,校规 的,xiao4 gui1   de,5
20587,在 学校 的,zai4   xue2 xiao4   de,5
20666,在 校,zai4   xiao4,5
20849,在 霍格沃茨 学校,zai4   huo4 ge2 wo4 ci2   xue2 xiao4,5
