Order Number,Item,Pinyin,Frequency
652,桌 上,zhuo1   shang4,64
740,的 桌子,de   zhuo1 zi,59
956,桌子 上,zhuo1 zi   shang4,51
1204,桌子 旁,zhuo1 zi   pang2,43
1807,张 桌子,zhang1   zhuo1 zi,31
1971,在 桌子,zai4   zhuo1 zi,29
2366,教工 桌子,jiao4 gong1   zhuo1 zi,25
3146,在 桌,zai4   zhuo1,20
3385,在 桌 上,zai4   zhuo1   shang4,19
3811,桌子 底下,zhuo1 zi   di3 xia4,17
4227,一 张 桌子,yi1   zhang1   zhuo1 zi,16
4404,着 桌子,zhe   zhuo1 zi,15
4641,餐桌 上,can1 zhuo1   shang4,15
5149,的 桌子 上,de   zhuo1 zi   shang4,14
5339,的 桌子 旁,de   zhuo1 zi   pang2,13
6021,从 桌子,cong2   zhuo1 zi,12
6417,的 餐桌,de   can1 zhuo1,12
6554,桌子 后面,zhuo1 zi   hou4 mian4,11
6956,桌子 上 的,zhuo1 zi   shang4   de,11
7228,多 的 桌子,duo1   de   zhuo1 zi,10
7963,张 桌子 旁,zhang1   zhuo1 zi   pang2,10
8329,桌子 的,zhuo1 zi   de,9
9275,餐桌 旁,can1 zhuo1   pang2,9
9774,张 桌子 上,zhang1   zhuo1 zi   shang4,8
10187,教工 桌子 旁,jiao4 gong1   zhuo1 zi   pang2,8
10434,桌上 的,zhuo1 shang4   de,8
10435,桌子 后面 的,zhuo1 zi   hou4 mian4   de,8
10436,桌子 那,zhuo1 zi   na4,8
10867,在 餐桌,zai4   can1 zhuo1,8
11188,了 桌子,le   zhuo1 zi,7
11647,餐桌 上 的,can1 zhuo1   shang4   de,7
11825,从 桌,cong2   zhuo1,7
11826,从 桌 上,cong2   zhuo1   shang4,7
12105,一 桌,yi1   zhuo1,7
12138,教工 餐桌,jiao4 gong1   can1 zhuo1,7
12467,格兰芬 多 的 桌子,ge2 lan2 fen1   duo1   de   zhuo1 zi,7
12476,桌子 那 头,zhuo1 zi   na4   tou2,7
12737,的 一 张 桌子,de   yi1   zhang1   zhuo1 zi,7
12869,在 教工 桌子,zai4   jiao4 gong1   zhuo1 zi,7
13533,多 餐桌,duo1   can1 zhuo1,6
13876,一 张 桌子 旁,yi1   zhang1   zhuo1 zi   pang2,6
14300,饭桌 上,fan4 zhuo1   shang4,6
14954,放 在 桌 上,fang4   zai4   zhuo1   shang4,6
14955,放 在 桌,fang4   zai4   zhuo1,6
15372,桌面 上,zhuo1 mian4   shang4,6
15873,隔 着 桌子,ge2   zhe   zhuo1 zi,6
15968,在 桌子 上,zai4   zhuo1 zi   shang4,6
15969,在 桌子 底下,zai4   zhuo1 zi   di3 xia4,6
16358,着 教工 桌子,zhe   jiao4 gong1   zhuo1 zi,5
16381,坐在 桌子,zuo4 zai4   zhuo1 zi,5
16565,多 的 餐桌,duo1   de   can1 zhuo1,5
17583,一 张 桌子 上,yi1   zhang1   zhuo1 zi   shang4,5
17745,克劳 桌子,ke4 lao2   zhuo1 zi,5
19252,教工 桌子 后面 的,jiao4 gong1   zhuo1 zi   hou4 mian4   de,5
19254,教工 桌子 后面,jiao4 gong1   zhuo1 zi   hou4 mian4,5
19882,格兰芬 多 餐桌,ge2 lan2 fen1   duo1   can1 zhuo1,5
19891,桌 上 的,zhuo1   shang4   de,5
19894,桌子 旁 的,zhuo1 zi   pang2   de,5
19895,桌子 中央,zhuo1 zi   zhong1 yang1,5
