Order Number,Item,Pinyin,Frequency
451,椅子 上,yi3 zi   shang4,83
1439,把 椅子,ba3   yi3 zi,38
1633,的 椅子,de   yi3 zi,34
2638,一 把 椅子,yi1   ba3   yi3 zi,23
3324,的 椅子 上,de   yi3 zi   shang4,19
3619,从 椅子,cong2   yi3 zi,18
3628,扶手椅 上,fu2 shou3 yi3   shang4,18
4220,把 椅子 上,ba3   yi3 zi   shang4,16
4477,在 椅子,zai4   yi3 zi,15
4937,从 椅子 上,cong2   yi3 zi   shang4,14
5174,一 把 椅子 上,yi1   ba3   yi3 zi   shang4,14
5875,空 椅子,kong1   yi3 zi,12
6366,的 扶手椅,de   fu2 shou3 yi3,12
6374,在 椅子 上,zai4   yi3 zi   shang4,12
7980,的 一 把 椅子,de   yi1   ba3   yi3 zi,10
8469,一 把 扶手椅,yi1   ba3   fu2 shou3 yi3,9
8734,把 扶手椅,ba3   fu2 shou3 yi3,9
8738,把 空 椅子,ba3   kong1   yi3 zi,9
10674,的 一 把 椅子 上,de   yi1   ba3   yi3 zi   shang4,8
11572,一 把 扶手椅 上,yi1   ba3   fu2 shou3 yi3   shang4,7
11697,一 把 空 椅子,yi1   ba3   kong1   yi3 zi,7
12014,把 扶手椅 上,ba3   fu2 shou3 yi3   shang4,7
12481,椅子 上 的,yi3 zi   shang4   de,7
13278,空 椅子 上,kong1   yi3 zi   shang4,6
20415,的 一 把 扶手椅 上,de   yi1   ba3   fu2 shou3 yi3   shang4,5
20417,的 一 把 扶手椅,de   yi1   ba3   fu2 shou3 yi3,5
20637,的 扶手椅 上,de   fu2 shou3 yi3   shang4,5
