Order Number,Item,Pinyin,Frequency
894,多 塔楼,duo1   ta3 lou2,53
1203,格兰芬 多 塔楼,ge2 lan2 fen1   duo1   ta3 lou2,43
1402,大理石 楼梯,da4 li3 shi2   lou2 ti1,38
1418,的 楼梯,de   lou2 ti1,38
1997,楼梯 上,lou2 ti1   shang4,29
2206,在 楼梯,zai4   lou2 ti1,27
4158,四 楼,si4   lou2,16
4419,塔楼 的,ta3 lou2   de,15
4480,在 楼上,zai4   lou2 shang4,15
4653,旋转 楼梯,xuan2 zhuan3   lou2 ti1,15
5284,楼 的,lou2   de,13
5625,楼上 的,lou2 shang4   de,13
6231,楼梯 平台,lou2 ti1   ping2 tai2,12
6614,了 楼梯,le   lou2 ti1,11
6961,楼梯 的,lou2 ti1   de,11
7863,楼梯 时,lou2 ti1   shi2,10
8214,塔楼 里,ta3 lou2   li3,9
8255,多 塔楼 的,duo1   ta3 lou2   de,9
8454,下楼 吃,xia4 lou2   chi1,9
8466,下楼 吃 早饭,xia4 lou2   chi1   zao3 fan4,9
9476,朝 楼梯,chao2   lou2 ti1,8
10032,走下 楼梯,zou3 xia4   lou2 ti1,8
10292,层 楼,ceng2   lou2,8
10425,格兰芬 多 塔楼 的,ge2 lan2 fen1   duo1   ta3 lou2   de,8
10444,楼上 去,lou2 shang4   qu4,8
10445,楼 上,lou2   shang4,8
10447,楼梯 下,lou2 ti1   xia4,8
10448,楼梯 平台 上,lou2 ti1   ping2 tai2   shang4,8
10797,在 楼梯 上,zai4   lou2 ti1   shang4,8
11169,塔楼 去,ta3 lou2   qu4,7
12256,二 楼,er4   lou2,7
12384,上楼 去,shang4 lou2   qu4,7
12484,楼梯 顶上,lou2 ti1   ding3 shang4,7
12572,下楼 去,xia4 lou2   qu4,7
12700,他们 上楼,ta1 men   shang4 lou2,7
13259,多 塔楼 去,duo1   ta3 lou2   qu4,6
13260,多 塔楼 里,duo1   ta3 lou2   li3,6
13676,宿舍 的 楼梯,su4 she4   de   lou2 ti1,6
13843,返回 格兰芬 多 塔楼,fan3 hui2   ge2 lan2 fen1   duo1   ta3 lou2,6
14160,螺旋形 楼梯,luo2 xuan2 xing2   lou2 ti1,6
14193,往 楼上,wang3   lou2 shang4,6
14504,三 楼,san1   lou2,6
14525,从 楼梯,cong2   lou2 ti1,6
15370,格兰芬 多 塔楼 里,ge2 lan2 fen1   duo1   ta3 lou2   li3,6
15378,楼上 走去,lou2 shang4   zou3 qu4,6
15379,楼梯 下面,lou2 ti1   xia4 mian4,6
15380,楼梯 下 的,lou2 ti1   xia4   de,6
15381,楼梯 走去,lou2 ti1   zou3 qu4,6
15382,楼梯 底下,lou2 ti1   di3 xia4,6
15497,下楼 来到,xia4 lou2   lai2 dao4,6
15706,回到 楼上,hui2 dao4   lou2 shang4,6
15853,的 塔楼,de   ta3 lou2,6
15963,在 格兰芬 多 塔楼,zai4   ge2 lan2 fen1   duo1   ta3 lou2,6
15971,的 楼梯 平台,de   lou2 ti1   ping2 tai2,6
15972,在 楼下,zai4   lou2 xia4,6
17433,走下 旋转 楼梯,zou3 xia4   xuan2 zhuan3   lou2 ti1,5
17739,层 楼梯,ceng2   lou2 ti1,5
17809,道 楼梯,dao4   lou2 ti1,5
18669,从 楼梯 上,cong2   lou2 ti1   shang4,5
19759,上楼 来到,shang4 lou2   lai2 dao4,5
19906,楼下 的,lou2 xia4   de,5
20104,下楼 来,xia4 lou2   lai2,5
20393,回格兰芬 多 塔楼,hui2 ge2 lan2 fen1   duo1   ta3 lou2,5
20682,在 楼上 的,zai4   lou2 shang4   de,5
