Order Number,Item,Pinyin,Frequency
803,大概 是,da4 gai4   shi4,57
2873,他 大概,ta1   da4 gai4,22
3545,大概 会,da4 gai4   hui4,18
4118,你 大概,ni3   da4 gai4,16
4613,这 大概,zhe4   da4 gai4,15
5711,他们 大概,ta1 men   da4 gai4,13
6631,大概 不,da4 gai4   bu4,11
7325,大概 也,da4 gai4   ye3,10
7326,大概 还,da4 gai4   hai2,10
8207,大概 以为,da4 gai4   yi3 wei2,9
8408,她 大概,ta1   da4 gai4,9
11264,大概 就,da4 gai4   jiu4,7
13329,大概 不 会,da4 gai4   bu4   hui4,6
13331,大概 只,da4 gai4   zhi3,6
13334,大概 在,da4 gai4   zai4,6
13901,这 大概 是,zhe4   da4 gai4   shi4,6
16679,大概 是 想,da4 gai4   shi4   xiang3,5
16681,大概 还 有,da4 gai4   hai2   you3,5
17224,它 大概,ta1   da4 gai4,5
18670,我 大概,wo3   da4 gai4,5
18810,我们 大概,wo3 men   da4 gai4,5
