Order Number,Item,Pinyin,Frequency
474,正 是,zheng4   shi4,81
616,正 在,zheng4   zai4,67
1615,真正 的,zhen1 zheng4   de,34
2369,正常 的,zheng4 chang2   de,25
2451,正 要,zheng4   yao4,24
2592,他 正在,ta1   zheng4 zai4,23
3148,他 正,ta1   zheng4,20
3602,他们 正,ta1 men   zheng4,18
3711,正 从,zheng4   cong2,18
5038,这 正,zhe4   zheng4,14
5324,不 正常,bu4   zheng4 chang2,13
5746,这 正 是,zhe4   zheng4   shi4,13
5919,正确 的,zheng4 que4   de,12
5928,哈利 正,ha1 li4   zheng4,12
6034,我 正,wo3   zheng4,12
6091,只 正常,zhi3   zheng4 chang2,12
6690,一本正经 地,yi1 ben3 zheng4 jing1   di4,11
6728,我 正在,wo3   zheng4 zai4,11
6743,赫敏 正,he4 min3   zheng4,11
6803,只 正常 的,zhi3   zheng4 chang2   de,11
6946,那 只 正常,na4   zhi3   zheng4 chang2,11
6968,正常 的 眼睛,zheng4 chang2   de   yan3 jing1,11
7687,只 正常 的 眼睛,zhi3   zheng4 chang2   de   yan3 jing1,10
7792,个 真正,ge4   zhen1 zheng4,10
7847,那 只 正常 的 眼睛,na4   zhi3   zheng4 chang2   de   yan3 jing1,10
7849,那 只 正常 的,na4   zhi3   zheng4 chang2   de,10
7874,正 朝,zheng4   chao2,10
7875,正在 跟,zheng4 zai4   gen1,10
7884,哈利 正在,ha1 li4   zheng4 zai4,10
8170,睡 得 正香,shui4   de2   zheng4 xiang1,9
8262,了 正常,le   zheng4 chang2,9
8512,得 正香,de2   zheng4 xiang1,9
8895,个 真正 的,ge4   zhen1 zheng4   de,9
9002,正 和,zheng4   he2,9
9004,一 个 真正,yi1   ge4   zhen1 zheng4,9
9496,她 正,ta1   zheng4,8
9574,一本正经 地 说,yi1 ben3 zheng4 jing1   di4   shuo1,8
9899,恢复 了 正常,hui1 fu4   le   zheng4 chang2,8
10458,正 是 他,zheng4   shi4   ta1,8
10459,正 站,zheng4   zhan4,8
10460,正 站 在,zheng4   zhan4   zai4,8
10462,此刻 正,ci3 ke4   zheng4,8
10503,一 个 真正 的,yi1   ge4   zhen1 zheng4   de,8
10675,人 正在,ren2   zheng4 zai4,8
11319,赫敏 正 在,he4 min3   zheng4   zai4,7
11447,这时 他们 正,zhe4 shi2   ta1 men   zheng4,7
12496,正 如,zheng4   ru2,7
12497,正 把,zheng4   ba3,7
12501,正在 把,zheng4 zai4   ba3,7
12611,海格 正,hai3 ge2   zheng4,7
13122,似乎 正,si4 hu1   zheng4,6
13481,她 正在,ta1   zheng4 zai4,6
13915,先生 正,xian1 sheng1   zheng4,6
14714,反正 我们,fan3 zheng4   wo3 men,6
15127,是 正确 的,shi4   zheng4 que4   de,6
15128,是 正确,shi4   zheng4 que4,6
15404,正 是 因为,zheng4   shi4   yin1 wei4,6
15405,正 是 这样,zheng4   shi4   zhe4 yang4,6
15664,现在 正,xian4 zai4   zheng4,6
15975,的 正,de   zheng4,6
16330,似乎 正在,si4 hu1   zheng4 zai4,5
17812,公正 的,gong1 zheng4   de,5
17891,那 正 是,na4   zheng4   shi4,5
17892,那 正,na4   zheng4,5
18123,人 正,ren2   zheng4,5
18232,非常 正确,fei1 chang2   zheng4 que4,5
18246,韦斯莱 先生 正,wei2 si1 lai2   xian1 sheng1   zheng4,5
18568,东西 正,dong1 xi1   zheng4,5
18823,我们 正,wo3 men   zheng4,5
19266,教授 正,jiao4 shou4   zheng4,5
19271,教授 正在,jiao4 shou4   zheng4 zai4,5
19314,方方正正 的,fang1 fang1 zheng4 zheng4   de,5
19925,正 准备,zheng4   zhun3 bei4,5
19928,正 在 那里,zheng4   zai4   na4 li3,5
19929,正 当,zheng4   dang1,5
19930,正 忙,zheng4   mang2,5
19931,正 巴不得,zheng4   ba1 bu4 de2,5
19934,正 是 我,zheng4   shi4   wo3,5
19935,正 注视,zheng4   zhu4 shi4,5
19936,正 注视 着,zheng4   zhu4 shi4   zhe,5
19940,正 跟,zheng4   gen1,5
19942,正常 了,zheng4 chang2   le,5
19953,此刻 正在,ci3 ke4   zheng4 zai4,5
20249,他 那 只 正常,ta1   na4   zhi3   zheng4 chang2,5
20520,他们 正在,ta1 men   zheng4 zai4,5
20960,目前 正,mu4 qian2   zheng4,5
