Order Number,Item,Pinyin,Frequency
802,一 步,yi1   bu4,57
911,几 步,ji3   bu4,52
1122,的 脚步声,de   jiao3 bu4 sheng1,45
2066,停住 脚步,ting2 zhu4   jiao3 bu4,28
2519,两 步,liang3   bu4,24
3159,了 几 步,le   ji3   bu4,20
3344,三 步,san1   bu4,19
3770,了 一 步,le   yi1   bu4,17
5162,的 脚步,de   jiao3 bu4,14
5254,作 两 步,zuo4   liang3   bu4,13
5305,步 并 作 两 步,bu4   bing4   zuo4   liang3   bu4,13
5306,步 并 作,bu4   bing4   zuo4,13
5395,了 脚步,le   jiao3 bu4,13
5425,三 步 并,san1   bu4   bing4,13
5427,三 步 并 作,san1   bu4   bing4   zuo4,13
5428,三 步 并 作 两,san1   bu4   bing4   zuo4   liang3,13
5429,三 步 并 作 两 步,san1   bu4   bing4   zuo4   liang3   bu4,13
5499,并 作 两 步,bing4   zuo4   liang3   bu4,13
5510,停下 脚步,ting2 xia4   jiao3 bu4,13
5633,步 并,bu4   bing4,13
5634,步 并 作 两,bu4   bing4   zuo4   liang3,13
6544,大步 流星,da4 bu4   liu2 xing1,11
6873,他 大步,ta1   da4 bu4,11
6969,步 地,bu4   di4,11
7328,大步 流星 地,da4 bu4   liu2 xing1   di4,10
7329,大步 走,da4 bu4   zou3,10
7331,了 脚步声,le   jiao3 bu4 sheng1,10
9035,沉重 的 脚步,chen2 zhong4   de   jiao3 bu4,9
9416,着 沉重 的 脚步,zhe   chen2 zhong4   de   jiao3 bu4,8
9610,走 了 几 步,zou3   le   ji3   bu4,8
9875,快步 走,kuai4 bu4   zou3,8
9909,刹住 脚步,sha1 zhu4   jiao3 bu4,8
10463,步 远,bu4   yuan3,8
11027,作 两 步 地,zuo4   liang3   bu4   di4,7
11061,大步 朝,da4 bu4   chao2,7
11064,大步 走到,da4 bu4   zou3 dao4,7
11065,大步 走向,da4 bu4   zou3 xiang4,7
11323,走 一 步,zou3   yi1   bu4,7
11516,并 作 两 步 地,bing4   zuo4   liang3   bu4   di4,7
11868,两 步 地,liang3   bu4   di4,7
12503,步 并 作 两 步 地,bu4   bing4   zuo4   liang3   bu4   di4,7
13337,大步 穿过,da4 bu4   chuan1 guo4,6
14212,几 步 远,ji3   bu4   yuan3,6
14394,快步 朝,kuai4 bu4   chao2,6
14660,走 几 步,zou3   ji3   bu4,6
14856,拖 着 沉重 的 脚步,tuo1   zhe   chen2 zhong4   de   jiao3 bu4,6
15411,步 远 的 地方,bu4   yuan3   de   di4 fang1,6
15412,步 远 的,bu4   yuan3   de,6
15433,每 走 一 步,mei3   zou3   yi1   bu4,6
16683,大步 向,da4 bu4   xiang4,5
16691,大步 走进,da4 bu4   zou3 jin4,5
16698,大踏步 地,da4 ta4 bu4   di4,5
17550,停住 了 脚步,ting2 zhu4   le   jiao3 bu4,5
17789,退后 一 步,tui4 hou4   yi1   bu4,5
18175,几 步 远 的 地方,ji3   bu4   yuan3   de   di4 fang1,5
18176,几 步 远 的,ji3   bu4   yuan3   de,5
18565,加快 脚步,jia1 kuai4   jiao3 bu4,5
18566,加快 了 脚步,jia1 kuai4   le   jiao3 bu4,5
19954,步 两,bu4   liang3,5
19958,步 就,bu4   jiu4,5
20451,他们 大步,ta1 men   da4 bu4,5
21050,传来 了 脚步声,chuan2 lai2   le   jiao3 bu4 sheng1,5
