Order Number,Item,Pinyin,Frequency
3851,毛茸茸 的,mao2 rong2 rong2   de,17
5078,的 羽毛,de   yu3 mao2,14
5159,的 羽毛笔,de   yu3 mao2 bi3,14
6623,弗洛伯 毛虫,fu2 luo4 bo2   mao2 chong2,11
7388,羽毛笔 和,yu3 mao2 bi3   he2,10
9072,的 毛,de   mao2,9
9121,的 眉毛,de   mei2 mao2,9
9477,羽毛 笔,yu3 mao2   bi3,8
9959,一 支 羽毛笔,yi1   zhi1   yu3 mao2 bi3,8
10049,扬起 眉毛,yang2 qi3   mei2 mao2,8
10177,支 羽毛笔,zhi1   yu3 mao2 bi3,8
10982,着 羽毛,zhe   yu3 mao2,7
12538,毛 的,mao2   de,7
12894,的 毛衣,de   mao2 yi1,7
13440,羽毛 的,yu3 mao2   de,6
15978,的 汗毛,de   han4 mao2,6
16393,着 羽毛 的,zhe   yu3 mao2   de,5
16871,羽毛笔 的,yu3 mao2 bi3   de,5
16875,羽毛笔 和 一,yu3 mao2 bi3   he2   yi1,5
18138,人 毛骨悚然,ren2   mao2 gu3 song3 ran2,5
19673,和 羽毛笔,he2   yu3 mao2 bi3,5
20007,毛茸茸 的 尾巴,mao2 rong2 rong2   de   wei3 ba,5
20010,毛皮 斗篷,mao2 pi2   dou3 peng2,5
20661,令 人 毛骨悚然,ling4   ren2   mao2 gu3 song3 ran2,5
