Order Number,Item,Pinyin,Frequency
4165,水 里,shui3   li3,16
4567,抽水 马桶,chou1 shui3   ma3 tong3,15
8056,在 水,zai4   shui3,10
8059,在 水下,zai4   shui3 xia4,10
9248,的 水,de   shui3,9
10799,在 水 里,zai4   shui3   li3,8
10861,的 药水,de   yao4 shui3,8
11557,了 泪水,le   lei4 shui3,7
12548,水汪汪 的,shui3 wang1 wang1   de,7
12802,的 墨水,de   mo4 shui3,7
13434,墨水 写,mo4 shui3   xie3,6
13532,了 水,le   shui3,6
15981,的 湖水,de   hu2 shui3,6
16066,的 脓水,de   nong2 shui3,6
16453,墨水 写 的,mo4 shui3   xie3   de,5
19072,抽水 马桶 里,chou1 shui3   ma3 tong3   li3,5
19160,他 在 水,ta1   zai4   shui3,5
20022,水面 上,shui3 mian4   shang4,5
20346,瓶 墨水,ping2   mo4 shui3,5
20690,的 水面,de   shui3 mian4,5
20691,的 水平,de   shui3 ping2,5
