Order Number,Item,Pinyin,Frequency
275,注视 着,zhu4 shi4   zhe,115
327,注意 到,zhu4 yi4   dao4,103
1564,没有 注意,mei2 you3   zhu4 yi4,35
1779,的 注意力,de   zhu4 yi4 li4,31
2380,没有 注意 到,mei2 you3   zhu4 yi4   dao4,25
2879,地 注视,di4   zhu4 shi4,21
2893,地 注视 着,di4   zhu4 shi4   zhe,21
2932,哈利 注意 到,ha1 li4   zhu4 yi4   dao4,21
2951,哈利 注意,ha1 li4   zhu4 yi4,21
3002,注视 着 他,zhu4 shi4   zhe   ta1,21
3860,的 注意,de   zhu4 yi4,17
6247,哈利 注视,ha1 li4   zhu4 shi4,12
6274,注意 到 了,zhu4 yi4   dao4   le,12
7452,注意 的,zhu4 yi4   de,10
7914,注视 着 哈利,zhu4 shi4   zhe   ha1 li4,10
8543,专注 地,zhuan1 zhu4   di4,9
8974,他 的 注意力,ta1   de   zhu4 yi4 li4,9
9030,哈利 注视 着,ha1 li4   zhu4 shi4   zhe,9
9781,人 注意,ren2   zhu4 yi4,8
10538,注意 到 他,zhu4 yi4   dao4   ta1,8
11156,不 注意,bu4   zhu4 yi4,7
12594,注视 着 他们,zhu4 shi4   zhe   ta1 men,7
12801,也 注意,ye3   zhu4 yi4,7
12896,在 注视,zai4   zhu4 shi4,7
12897,在 注视 着,zai4   zhu4 shi4   zhe,7
13693,请 注意,qing3   zhu4 yi4,6
15213,他 注视,ta1   zhu4 shi4,6
15216,他 注视 着,ta1   zhu4 shi4   zhe,6
15835,也 没有 注意,ye3   mei2 you3   zhu4 yi4,6
15838,也 注意 到,ye3   zhu4 yi4   dao4,6
19806,他 的 注意,ta1   de   zhu4 yi4,5
19879,根本 没有 注意,gen1 ben3   mei2 you3   zhu4 yi4,5
19935,正 注视,zheng4   zhu4 shi4,5
19936,正 注视 着,zheng4   zhu4 shi4   zhe,5
20064,没 注意,mei2   zhu4 yi4,5
20078,没有 人 注意,mei2 you3   ren2   zhu4 yi4,5
20128,注视 下,zhu4 shi4   xia4,5
20134,注视 着 自己,zhu4 shi4   zhe   zi4 ji3,5
20137,注视 着 那,zhu4 shi4   zhe   na4,5
20578,也 注意 到 了,ye3   zhu4 yi4   dao4   le,5
