Order Number,Item,Pinyin,Frequency
2607,深深 地,shen1 shen1   di4,23
3321,深深 吸 了,shen1 shen1   xi1   le,19
3478,深深 吸,shen1 shen1   xi1,19
3992,深 的,shen1   de,17
5349,很 深,hen3   shen1,13
6283,深深 吸 了 口,shen1 shen1   xi1   le   kou3,12
6284,深深 吸 了 口 气,shen1 shen1   xi1   le   kou3   qi4,12
7220,他 深深,ta1   shen1 shen1,10
7547,意味 深长,yi4 wei4   shen1 chang2,10
7927,深深 地 吸,shen1 shen1   di4   xi1,10
9080,深深 地 吸 了,shen1 shen1   di4   xi1   le,9
9809,很 深 的,hen3   shen1   de,8
10562,深深 的,shen1 shen1   de,8
12544,哈利 深深,ha1 li4   shen1 shen1,7
14471,意味 深长 地,yi4 wei4   shen1 chang2   di4,6
15456,哈利 深深 吸 了,ha1 li4   shen1 shen1   xi1   le,6
15457,哈利 深深 吸,ha1 li4   shen1 shen1   xi1,6
15559,深深 地 吸 了 一 口,shen1 shen1   di4   xi1   le   yi1   kou3,6
15560,深深 地 吸 了 一,shen1 shen1   di4   xi1   le   yi1,6
15561,深长 地,shen1 chang2   di4,6
18312,高深 的,gao1 shen1   de,5
19678,他 深深 吸,ta1   shen1 shen1   xi1,5
19681,他 深深 吸 了,ta1   shen1 shen1   xi1   le,5
20015,哈利 深深 吸 了 口 气,ha1 li4   shen1 shen1   xi1   le   kou3   qi4,5
20016,哈利 深深 吸 了 口,ha1 li4   shen1 shen1   xi1   le   kou3,5
20175,深深 吸 了 一 口,shen1 shen1   xi1   le   yi1   kou3,5
20176,深深 吸 了 一,shen1 shen1   xi1   le   yi1,5
20177,深 的 地方,shen1   de   di4 fang1,5
20178,深深 吸 了 一 口 气,shen1 shen1   xi1   le   yi1   kou3   qi4,5
20183,深红色 的,shen1 hong2 se4   de,5
20697,的 深蓝色,de   shen1 lan2 se4,5
