Order Number,Item,Pinyin,Frequency
363,一 点,yi1   dian3,95
635,这 一 点,zhe4   yi1   dian3,66
731,了 点,le   dian3,60
789,点 了,dian3   le,57
890,一点儿 也,yi4 dian3 er2   ye3,53
959,点 头,dian3   tou2,50
996,了 点 头,le   dian3   tou2,49
1054,差点 没,cha4 dian3   mei2,47
1056,差点 没 头,cha4 dian3   mei2   tou2,47
1077,快 点儿,kuai4   dian3 er2,46
1087,一点儿 也 不,yi4 dian3 er2   ye3   bu4,46
1117,差点 没 头 的,cha4 dian3   mei2   tou2   de,45
1215,差点 没 头 的 尼克,cha4 dian3   mei2   tou2   de   ni2 ke4,42
1263,点 了 点,dian3   le   dian3,41
1324,点 了 点 头,dian3   le   dian3   tou2,40
1924,点 地图,dian3   di4 tu2,29
1981,活 点,huo2   dian3,29
1996,活 点 地图,huo2   dian3   di4 tu2,29
2983,这 点,zhe4   dian3,21
3340,点 着,dian3   zhe,19
4175,点 什么,dian3   shen2 me,16
4410,了 一点儿,le   yi4 dian3 er2,15
4837,差点 把,cha4 dian3   ba3,14
5595,有 点,you3   dian3,13
5966,了 点儿,le   dian3 er2,12
6319,的 一点儿,de   yi4 dian3 er2,12
6475,地点 了,di4 dian3   le,11
6595,哈利 点,ha1 li4   dian3,11
6604,哈利 点 了,ha1 li4   dian3   le,11
7621,一点 也,yi4 dian3   ye3,10
7642,一点 也 不,yi4 dian3   ye3   bu4,10
7808,差 一点儿,cha4   yi4 dian3 er2,10
8217,有点 不,you3 dian3   bu4,9
8590,我 一点儿,wo3   yi4 dian3 er2,9
8904,显得 有点儿,xian3 de   you3 dian3 er2,9
9099,点 东西,dian3   dong1 xi1,9
9317,了 一点,le   yi4 dian3,9
9366,地点 了 点,di4 dian3   le   dian3,8
9367,地点 了 点 头,di4 dian3   le   dian3   tou2,8
9511,了 极点,le   ji2 dian3,8
9704,差点儿 把,cha4 dian3 er2   ba3,8
9791,了 点头,le   dian3 tou2,8
10307,显得 有点,xian3 de   you3 dian3,8
10339,有 一点儿,you3   yi4 dian3 er2,8
10492,哈利 点 了 点,ha1 li4   dian3   le   dian3,8
10493,哈利 点 了 点 头,ha1 li4   dian3   le   dian3   tou2,8
11347,小 点,xiao3   dian3,7
11903,他 一点,ta1   yi4 dian3,7
11906,他 一点儿,ta1   yi4 dian3 er2,7
12020,做 点,zuo4   dian3,7
12041,小心 点儿,xiao3 xin1   dian3 er2,7
12158,吃 点,chi1   dian3,7
12397,有点 像,you3 dian3   xiang4,7
12562,没有 一点儿,mei2 you3   yi4 dian3 er2,7
12641,点 我,dian3   wo3,7
12643,点亮 了,dian3 liang4   le,7
12965,的 观点,de   guan1 dian3,7
13236,知道 这 一 点,zhi1 dao4   zhe4   yi1   dian3,6
13759,一点儿 东西,yi4 dian3 er2   dong1 xi1,6
13775,一点儿 声音,yi4 dian3 er2   sheng1 yin1,6
13782,做到 这 点,zuo4 dao4   zhe4   dian3,6
13967,差点 被,cha4 dian3   bei4,6
13968,差点 没 头 的 尼克 说,cha4 dian3   mei2   tou2   de   ni2 ke4   shuo1,6
13986,已经 有点,yi3 jing1   you3 dian3,6
14049,那 点,na4   dian3,6
14163,凌晨 一点,ling2 chen2   yi4 dian3,6
14391,快 点,kuai4   dian3,6
14398,到 了 极点,dao4   le   ji2 dian3,6
14637,他 一点儿 也,ta1   yi4 dian3 er2   ye3,6
14791,做 点 什么,zuo4   dian3   shen2 me,6
14977,他 差点儿,ta1   cha4 dian3 er2,6
15185,和 差点 没,he2   cha4 dian3   mei2,6
15186,和 差点,he2   cha4 dian3,6
15191,和 差点 没 头 的,he2   cha4 dian3   mei2   tou2   de,6
15192,和 差点 没 头,he2   cha4 dian3   mei2   tou2,6
15196,和 差点 没 头 的 尼克,he2   cha4 dian3   mei2   tou2   de   ni2 ke4,6
15220,有 一 点,you3   yi1   dian3,6
15483,没有 一点,mei2 you3   yi4 dian3,6
15603,点 了 点头,dian3   le   dian3 tou2,6
15606,点 的,dian3   de,6
16939,能 做到 这 点,neng2   zuo4 dao4   zhe4   dian3,5
17363,贾斯廷 和 差点 没 头,jia3 si1 ting2   he2   cha4 dian3   mei2   tou2,5
17364,贾斯廷 和 差点 没,jia3 si1 ting2   he2   cha4 dian3   mei2,5
17365,贾斯廷 和 差点 没 头 的,jia3 si1 ting2   he2   cha4 dian3   mei2   tou2   de,5
17366,贾斯廷 和 差点,jia3 si1 ting2   he2   cha4 dian3,5
17472,一点儿 不,yi4 dian3 er2   bu4,5
17525,做到 这 一 点,zuo4 dao4   zhe4   yi1   dian3,5
17558,一点点 地,yi4 dian3 dian3   di4,5
17635,这 一 点 的,zhe4   yi1   dian3   de,5
17773,差点 从,cha4 dian3   cong2,5
18056,里 点,li3   dian3,5
18474,到 这 一 点,dao4   zhe4   yi1   dian3,5
18561,想到 这 一 点,xiang3 dao4   zhe4   yi1   dian3,5
18812,他 一点儿 也 不,ta1   yi4 dian3 er2   ye3   bu4,5
19523,一 点 的,yi1   dian3   de,5
19524,一 点 我,yi1   dian3   wo3,5
19595,晚上 八点,wan3 shang4   ba1 dian3,5
19685,有 一点,you3   yi4 dian3,5
19724,有 点儿,you3   dian3 er2,5
19736,有点儿 紧张,you3 dian3 er2   jin3 zhang1,5
19905,哈利 差点儿,ha1 li4   cha4 dian3 er2,5
20026,哈利 点点头,ha1 li4   dian3 dian3 tou2,5
20239,点点 的,dian3 dian3   de,5
20240,点 着 头,dian3   zhe   tou2,5
20304,喝 点,he1   dian3,5
