Order Number,Item,Pinyin,Frequency
1363,我 爸爸,wo3   ba4 ba4,39
1396,你 爸爸,ni3   ba4 ba4,38
1514,爸爸 妈妈,ba4 ba4   ma1 ma1,36
3041,的 爸爸,de   ba4 ba4,21
5056,他 爸爸,ta1   ba4 ba4,14
5830,爸爸 的,ba4 ba4   de,12
6454,和 爸爸,he2   ba4 ba4,11
7710,妈妈 和 爸爸,ma1 ma1   he2   ba4 ba4,10
8066,的 爸爸 妈妈,de   ba4 ba4   ma1 ma1,10
10601,爸爸 和,ba4 ba4   he2,8
11865,我 爸,wo3   ba4,7
12665,爸爸 是,ba4 ba4   shi4,7
15112,是 我 爸爸,shi4   wo3   ba4 ba4,6
17252,你们 的 爸爸,ni3 men   de   ba4 ba4,5
20274,爸爸 在,ba4 ba4   zai4,5
20278,爸爸 说,ba4 ba4   shuo1,5
20571,的 妈妈 和 爸爸,de   ma1 ma1   he2   ba4 ba4,5
