Order Number,Item,Pinyin,Frequency
1333,大 狗,da4   gou3,39
2326,条 狗,tiao2   gou3,25
6964,那 条 狗,na4   tiao2   gou3,11
7084,的 大 狗,de   da4   gou3,11
7952,狗 的,gou3   de,10
9118,猎狗 牙牙,lie4 gou3   ya2 ya2,9
9544,大 黑狗,da4   hei1 gou3,8
9743,那 条 大 狗,na4   tiao2   da4   gou3,8
10046,一 条 狗,yi1   tiao2   gou3,8
10401,条 大 狗,tiao2   da4   gou3,8
13297,大 猎狗,da4   lie4 gou3,6
15644,狗 在,gou3   zai4,6
16633,大 猎狗 牙牙,da4   lie4 gou3   ya2 ya2,5
16634,大 狗 的,da4   gou3   de,5
16962,脑袋 的 大 狗,nao3 dai4   de   da4   gou3,5
18484,三 个 脑袋 的 大 狗,san1   ge4   nao3 dai4   de   da4   gou3,5
19634,个 脑袋 的 大 狗,ge4   nao3 dai4   de   da4   gou3,5
20713,的 狗,de   gou3,5
20941,的 黑狗,de   hei1 gou3,5
