Order Number,Item,Pinyin,Frequency
14,小 天狼星,xiao3   tian1 lang2 xing1,550
700,天狼星 说,tian1 lang2 xing1   shuo1,61
705,小 天狼星 说,xiao3   tian1 lang2 xing1   shuo1,61
853,天狼星 的,tian1 lang2 xing1   de,54
859,小 天狼星 的,xiao3   tian1 lang2 xing1   de,54
958,天狼星 布莱克,tian1 lang2 xing1   bu4 lai2 ke4,50
987,小 天狼星 布莱克,xiao3   tian1 lang2 xing1   bu4 lai2 ke4,50
3514,着 小 天狼星,zhe   xiao3   tian1 lang2 xing1,18
4743,和 小 天狼星,he2   xiao3   tian1 lang2 xing1,14
4815,了 小 天狼星,le   xiao3   tian1 lang2 xing1,14
4819,给 小 天狼星,gei3   xiao3   tian1 lang2 xing1,14
5562,是 小 天狼星,shi4   xiao3   tian1 lang2 xing1,13
5889,天狼星 和,tian1 lang2 xing1   he2,12
6069,小 天狼星 和,xiao3   tian1 lang2 xing1   he2,12
6553,天狼星 是,tian1 lang2 xing1   shi4,11
6772,小 天狼星 是,xiao3   tian1 lang2 xing1   shi4,11
7255,天狼星 的 信,tian1 lang2 xing1   de   xin4,10
7643,小 天狼星 的 信,xiao3   tian1 lang2 xing1   de   xin4,10
7660,把 小 天狼星,ba3   xiao3   tian1 lang2 xing1,10
8210,天狼星 不,tian1 lang2 xing1   bu4,9
8707,小 天狼星 不,xiao3   tian1 lang2 xing1   bu4,9
9588,天狼星 在,tian1 lang2 xing1   zai4,8
9618,小 天狼星 在,xiao3   tian1 lang2 xing1   zai4,8
10283,是 狼人,shi4   lang2 ren2,8
11079,天狼星 就,tian1 lang2 xing1   jiu4,7
11310,对 小 天狼星,dui4   xiao3   tian1 lang2 xing1,7
11962,小 天狼星 就,xiao3   tian1 lang2 xing1   jiu4,7
12834,的 小 天狼星,de   xiao3   tian1 lang2 xing1,7
12836,在 小 天狼星,zai4   xiao3   tian1 lang2 xing1,7
13222,知道 小 天狼星,zhi1 dao4   xiao3   tian1 lang2 xing1,6
13364,天狼星 说 着,tian1 lang2 xing1   shuo1   zhe,6
13752,小 天狼星 说 着,xiao3   tian1 lang2 xing1   shuo1   zhe,6
13764,跟 小 天狼星,gen1   xiao3   tian1 lang2 xing1,6
15286,望 着 小 天狼星,wang4   zhe   xiao3   tian1 lang2 xing1,6
15646,狼人 的,lang2 ren2   de,6
16408,但 小 天狼星,dan4   xiao3   tian1 lang2 xing1,5
16720,天狼星 写信,tian1 lang2 xing1   xie3 xin4,5
16728,天狼星 把,tian1 lang2 xing1   ba3,5
16729,天狼星 布莱克 的,tian1 lang2 xing1   bu4 lai2 ke4   de,5
16730,天狼星 发出,tian1 lang2 xing1   fa1 chu1,5
16780,给 小 天狼星 写信,gei3   xiao3   tian1 lang2 xing1   xie3 xin4,5
17321,说 小 天狼星,shuo1   xiao3   tian1 lang2 xing1,5
17453,小 天狼星 发出,xiao3   tian1 lang2 xing1   fa1 chu1,5
17454,小 天狼星 写信,xiao3   tian1 lang2 xing1   xie3 xin4,5
17460,小 天狼星 把,xiao3   tian1 lang2 xing1   ba3,5
17461,小 天狼星 布莱克 的,xiao3   tian1 lang2 xing1   bu4 lai2 ke4   de,5
18440,与 狼人,yu3   lang2 ren2,5
18975,把 小 天狼星 的,ba3   xiao3   tian1 lang2 xing1   de,5
20301,狼 人,lang2   ren2,5
