Order Number,Item,Pinyin,Frequency
437,出现 了,chu1 xian4   le,84
846,出现 在,chu1 xian4   zai4,54
869,发现 了,fa1 xian4   le,53
1057,发现 自己,fa1 xian4   zi4 ji3,47
1189,他 现在,ta1   xian4 zai4,43
1394,现在 就,xian4 zai4   jiu4,38
1622,现在 他,xian4 zai4   ta1,34
1877,我 现在,wo3   xian4 zai4,30
2052,哈利 发现,ha1 li4   fa1 xian4,28
2140,他 发现,ta1   fa1 xian4,27
2423,发现 他,fa1 xian4   ta1,25
2443,现在 是,xian4 zai4   shi4,24
2610,出现 了 一,chu1 xian4   le   yi1,23
2633,发现 的,fa1 xian4   de,23
2723,现在 不,xian4 zai4   bu4,23
2732,会 发现,hui4   fa1 xian4,22
2778,你 现在,ni3   xian4 zai4,22
2855,到 现在,dao4   xian4 zai4,22
2930,他们 发现,ta1 men   fa1 xian4,21
2993,表现 出,biao3 xian4   chu1,21
2995,人 发现,ren2   fa1 xian4,21
3118,现在 还,xian4 zai4   hai2,20
3176,现在 已经,xian4 zai4   yi3 jing1,20
3481,突然 出现,tu1 ran2   chu1 xian4,19
4127,现在 我,xian4 zai4   wo3,16
4151,没有 发现,mei2 you3   fa1 xian4,16
4212,才 发现,cai2   fa1 xian4,16
4300,会 出现,hui4   chu1 xian4,16
4312,现在 这样,xian4 zai4   zhe4 yang4,16
4364,地 发现,di4   fa1 xian4,16
4789,哈利 发现 自己,ha1 li4   fa1 xian4   zi4 ji3,14
4831,像 现在 这样,xiang4   xian4 zai4   zhe4 yang4,14
4869,表现 得,biao3 xian4   de2,14
4921,他们 现在,ta1 men   xian4 zai4,14
4951,现在 他们,xian4 zai4   ta1 men,14
5025,像 现在,xiang4   xian4 zai4,14
5168,的 表现,de   biao3 xian4,14
5445,被 发现,bei4   fa1 xian4,13
5462,我们 现在,wo3 men   xian4 zai4,13
5644,哈利 现在,ha1 li4   xian4 zai4,13
5841,但 现在,dan4   xian4 zai4,12
5853,却 发现,que4   fa1 xian4,12
6050,现在 的,xian4 zai4   de,12
6528,被 人 发现,bei4   ren2   fa1 xian4,11
6709,我 发现,wo3   fa1 xian4,11
6741,现在 又,xian4 zai4   you4,11
7002,浮现 出,fu2 xian4   chu1,11
7038,现在 我们,xian4 zai4   wo3 men,11
7136,出现 的,chu1 xian4   de,11
7343,你 发现,ni3   fa1 xian4,10
7492,发现 他 的,fa1 xian4   ta1   de,10
7645,发现 哈利,fa1 xian4   ha1 li4,10
7646,发现 她,fa1 xian4   ta1,10
7647,发现 这,fa1 xian4   zhe4,10
7873,发现 了 一,fa1 xian4   le   yi1,10
7960,现在 你,xian4 zai4   ni3,10
8424,她 现在,ta1   xian4 zai4,9
8518,被 发现 的,bei4   fa1 xian4   de,9
8541,到 现在 为止,dao4   xian4 zai4   wei2 zhi3,9
8665,又 出现,you4   chu1 xian4,9
8667,现在 有,xian4 zai4   you3,9
8675,现在 只,xian4 zai4   zhi3,9
8714,发现 他们,fa1 xian4   ta1 men,9
8715,发现 你,fa1 xian4   ni3,9
9126,现在 为止,xian4 zai4   wei2 zhi3,9
9128,现在 应该,xian4 zai4   ying1 gai1,9
9265,出现 了 一 个,chu1 xian4   le   yi1   ge4,9
9413,突然 发现,tu1 ran2   fa1 xian4,8
9528,突然 出现 在,tu1 ran2   chu1 xian4   zai4,8
10158,可 现在,ke3   xian4 zai4,8
10343,有 人 发现,you3   ren2   fa1 xian4,8
10631,现在 你们,xian4 zai4   ni3 men,8
10632,现在 哈利,xian4 zai4   ha1 li4,8
10634,现在 都,xian4 zai4   dou1,8
11140,而 现在,er2   xian4 zai4,7
11215,表现 出 了,biao3 xian4   chu1   le,7
11973,发现 罗恩,fa1 xian4   luo2 en1,7
11978,发现 那,fa1 xian4   na4,7
12567,没有 像 现在 这样,mei2 you3   xiang4   xian4 zai4   zhe4 yang4,7
12568,没有 像 现在,mei2 you3   xiang4   xian4 zai4,7
12701,现在 这,xian4 zai4   zhe4,7
13335,你 会 发现,ni3   hui4   fa1 xian4,6
13634,你们 现在,ni3 men   xian4 zai4,6
13637,它 现在,ta1   xian4 zai4,6
13805,就 会 发现,jiu4   hui4   fa1 xian4,6
13819,就 发现,jiu4   fa1 xian4,6
14290,出现 在 哈利,chu1 xian4   zai4   ha1 li4,6
14440,惊讶 地 发现,jing1 ya4   di4   fa1 xian4,6
14579,从来 没有 像 现在 这样,cong2 lai2   mei2 you3   xiang4   xian4 zai4   zhe4 yang4,6
14580,从来 没有 像 现在,cong2 lai2   mei2 you3   xiang4   xian4 zai4,6
14629,又 出现 了,you4   chu1 xian4   le,6
14695,上 出现,shang4   chu1 xian4,6
14738,发现 是,fa1 xian4   shi4,6
14740,发现 海格,fa1 xian4   hai3 ge2,6
14741,发现 它们,fa1 xian4   ta1 men,6
14950,可是 现在,ke3 shi4   xian4 zai4,6
15444,比 现在,bi3   xian4 zai4,6
15660,现在 他 的,xian4 zai4   ta1   de,6
15661,现在 她,xian4 zai4   ta1,6
15663,现在 很,xian4 zai4   hen3,6
15664,现在 正,xian4 zai4   zheng4,6
16611,突然 出现 了,tu1 ran2   chu1 xian4   le,5
16721,你 发现 了,ni3   fa1 xian4   le,5
17572,就 出现 了,jiu4   chu1 xian4   le,5
17574,就 出现,jiu4   chu1 xian4,5
17677,这 才 发现,zhe4   cai2   fa1 xian4,5
18017,里 发现,li3   fa1 xian4,5
18274,出现 一,chu1 xian4   yi1,5
18288,出现 在 他们,chu1 xian4   zai4   ta1 men,5
18734,我 现在 就,wo3   xian4 zai4   jiu4,5
18802,又 发现,you4   fa1 xian4,5
18930,发现 自己 来到,fa1 xian4   zi4 ji3   lai2 dao4,5
18931,发现 我,fa1 xian4   wo3,5
18932,发现 它,fa1 xian4   ta1,5
18942,发现 自己 来到 了,fa1 xian4   zi4 ji3   lai2 dao4   le,5
19023,他 发现 自己,ta1   fa1 xian4   zi4 ji3,5
19302,吃惊 地 发现,chi1 jing1   di4   fa1 xian4,5
20329,现在 可以,xian4 zai4   ke3 yi3,5
20331,现在 没有,xian4 zai4   mei2 you3,5
20332,现在 每,xian4 zai4   mei3,5
20335,现实 中,xian4 shi2   zhong1,5
20336,现在 要,xian4 zai4   yao4,5
20994,会 表现,hui4   biao3 xian4,5
