Order Number,Item,Pinyin,Frequency
775,疯 眼汉,feng1   yan3 han4,58
837,疯 了,feng1   le,55
2067,疯狂 地,feng1 kuang2   di4,28
2452,疯 眼汉 穆迪,feng1   yan3 han4   mu4 di2,24
7788,是 疯,shi4   feng1,10
8254,你 疯 了,ni3   feng1   le,9
8440,你 疯,ni3   feng1,9
9154,疯 了 吗,feng1   le   ma,9
9155,疯狂 的,feng1 kuang2   de,9
13498,你 疯 了 吗,ni3   feng1   le   ma,6
15138,是 疯 了,shi4   feng1   le,6
16009,的 疯,de   feng1,6
17142,了 疯,le   feng1,5
17707,先生 疯 了,xian1 sheng1   feng1   le,5
17708,先生 疯,xian1 sheng1   feng1,5
20733,的 疯子,de   feng1 zi,5
20734,的 疯 眼汉,de   feng1   yan3 han4,5
