Order Number,Item,Pinyin,Frequency
501,不 明白,bu4   ming2 bai2,78
596,明白 了,ming2 bai2   le,69
1511,苍白 的,cang1 bai2   de,36
2408,明白 吗,ming2 bai2   ma,25
2486,脸色 苍白,lian3 se4   cang1 bai2,24
4112,银白色 的,yin2 bai2 se4   de,16
4188,我 不 明白,wo3   bu4   ming2 bai2,16
5185,真 不 明白,zhen1   bu4   ming2 bai2,14
5437,我 明白,wo3   ming2 bai2,13
5554,你 明白,ni3   ming2 bai2,13
5671,明白 他,ming2 bai2   ta1,13
5867,脸色 煞白,lian3 se4   sha4 bai2,12
6135,明白 的,ming2 bai2   de,12
7121,的 白,de   bai2,11
7300,不 明白 他,bu4   ming2 bai2   ta1,10
7934,明白 了 吗,ming2 bai2   le   ma,10
8905,一 片 空白,yi1   pian4   kong4 bai2,9
9019,哈利 明白,ha1 li4   ming2 bai2,9
9112,片 空白,pian4   kong4 bai2,9
9157,白色 的,bai2 se4   de,9
9810,面色 苍白,mian4 se4   cang1 bai2,8
10233,明白 了 吧,ming2 bai2   le   ba,8
10234,明白 他们,ming2 bai2   ta1 men,8
10567,清白 的,qing1 bai2   de,8
10891,的 银白色,de   yin2 bai2 se4,8
11401,就 明白,jiu4   ming2 bai2,7
11856,我 明白 了,wo3   ming2 bai2   le,7
11943,才 明白,cai2   ming2 bai2,7
12279,是 清白 的,shi4   qing1 bai2   de,7
12280,是 清白,shi4   qing1 bai2,7
12288,他 明白,ta1   ming2 bai2,7
12411,哈利 不 明白,ha1 li4   bu4   ming2 bai2,7
12832,雪白 的,xue3 bai2   de,7
13027,会 明白,hui4   ming2 bai2,7
13593,你 不 明白,ni3   bu4   ming2 bai2,6
14132,弄 不 明白,nong4   bu4   ming2 bai2,6
14264,面色 苍白 的,mian4 se4   cang1 bai2   de,6
14584,我 真 不 明白,wo3   zhen1   bu4   ming2 bai2,6
15039,明白 我 的,ming2 bai2   wo3   de,6
15040,明白 我,ming2 bai2   wo3,6
15429,哈利 明白 了,ha1 li4   ming2 bai2   le,6
15645,也 不 明白,ye3   bu4   ming2 bai2,6
15722,白 雾,bai2   wu4,6
15723,白 得,bai2   de2,6
16608,不 明白 他们,bu4   ming2 bai2   ta1 men,5
16625,不 明白 吗,bu4   ming2 bai2   ma,5
17035,花白 的,hua1 bai2   de,5
17036,苍白 的 男孩,cang1 bai2   de   nan2 hai2,5
17637,就 明白 了,jiu4   ming2 bai2   le,5
18053,弄 明白,nong4   ming2 bai2,5
18987,变白 了,bian4 bai2   le,5
19361,明白 为什么,ming2 bai2   wei4 shen2 me,5
19364,明白 你,ming2 bai2   ni3,5
19365,明白 是,ming2 bai2   shi4,5
19366,明白 我 的 意思,ming2 bai2   wo3   de   yi4 si,5
20073,他 脸色 苍白,ta1   lian3 se4   cang1 bai2,5
20401,白 了,bai2   le,5
20738,的 白色,de   bai2 se4,5
20739,的 白 雾,de   bai2   wu4,5
20951,会 明白 的,hui4   ming2 bai2   de,5
