Order Number,Item,Pinyin,Frequency
173,的 目光,de   mu4 guang1,156
497,个 项目,ge4   xiang4 mu4,78
1606,把 目光,ba3   mu4 guang1,34
1870,第一 个 项目,di4 yi1   ge4   xiang4 mu4,30
2309,目光 从,mu4 guang1   cong2,26
2403,他 的 目光,ta1   de   mu4 guang1,25
3040,哈利 的 目光,ha1 li4   de   mu4 guang1,21
3805,第二 个 项目,di4 er4   ge4   xiang4 mu4,17
4107,第三 个 项目,di4 san1   ge4   xiang4 mu4,16
4305,目不转睛 地,mu4 bu4 zhuan3 jing1   di4,16
4982,把 目光 从,ba3   mu4 guang1   cong2,14
5028,目不转睛 地 盯,mu4 bu4 zhuan3 jing1   di4   ding1,14
5181,目不转睛 地 盯 着,mu4 bu4 zhuan3 jing1   di4   ding1   zhe,14
5591,项目 是,xiang4 mu4   shi4,13
5755,项目 的,xiang4 mu4   de,13
6203,个 项目 是,ge4   xiang4 mu4   shi4,12
7246,一下 目光,yi1 xia4   mu4 guang1,10
7289,她 的 目光,ta1   de   mu4 guang1,10
8124,目瞪口呆 地,mu4 deng4 kou3 dai1   di4,10
8371,夺目 的,duo2 mu4   de,9
8954,个 项目 的,ge4   xiang4 mu4   de,9
9028,比赛 项目,bi3 sai4   xiang4 mu4,9
9311,了 一下 目光,le   yi1 xia4   mu4 guang1,9
10911,目光 在,mu4 guang1   zai4,8
10912,目光 投向,mu4 guang1   tou2 xiang4,8
10913,目光 看,mu4 guang1   kan4,8
10914,目光 落到,mu4 guang1   luo4 dao4,8
10974,一 个 项目,yi1   ge4   xiang4 mu4,7
12393,个 项目 是 什么,ge4   xiang4 mu4   shi4   shen2 me,7
12402,交换 了 一下 目光,jiao1 huan4   le   yi1 xia4   mu4 guang1,7
12561,哈利 目瞪口呆,ha1 li4   mu4 deng4 kou3 dai1,7
12912,项目 是 什么,xiang4 mu4   shi4   shen2 me,7
12915,的 目光 看,de   mu4 guang1   kan4,7
13000,目光 落,mu4 guang1   luo4,7
13034,目光 又,mu4 guang1   you4,7
13036,目光 望,mu4 guang1   wang4,7
13037,目光 落 在,mu4 guang1   luo4   zai4,7
13332,第一 个 项目 是,di4 yi1   ge4   xiang4 mu4   shi4,6
14705,将 目光,jiang1   mu4 guang1,6
14793,把 目光 投向,ba3   mu4 guang1   tou2 xiang4,6
16016,的 目光 望,de   mu4 guang1   wang4,6
16017,的 目光 落到,de   mu4 guang1   luo4 dao4,6
16183,目光 扫,mu4 guang1   sao3,6
17141,了 目光,le   mu4 guang1,5
18266,项目 中,xiang4 mu4   zhong1,5
18394,心目 中 的,xin1 mu4   zhong1   de,5
18395,心目 中,xin1 mu4   zhong1,5
18463,到 目前,dao4   mu4 qian2,5
18471,到 目前 为止,dao4   mu4 qian2   wei2 zhi3,5
19299,斯内普 的 目光,si1 nei4 pu3   de   mu4 guang1,5
19449,个 比赛 项目,ge4   bi3 sai4   xiang4 mu4,5
20081,哈利 目瞪口呆 地,ha1 li4   mu4 deng4 kou3 dai1   di4,5
20704,在 目前,zai4   mu4 qian2,5
20736,在 第一 个 项目,zai4   di4 yi1   ge4   xiang4 mu4,5
20746,的 目光 扫,de   mu4 guang1   sao3,5
20747,的 目光 在,de   mu4 guang1   zai4,5
20748,的 目光 都,de   mu4 guang1   dou1,5
20749,的 目光 瞪,de   mu4 guang1   deng4,5
20750,的 目光 从,de   mu4 guang1   cong2,5
20751,的 目标,de   mu4 biao1,5
20955,目光 望 着,mu4 guang1   wang4   zhe,5
20958,目光 瞪,mu4 guang1   deng4,5
20959,目光 都,mu4 guang1   dou1,5
20960,目前 正,mu4 qian2   zheng4,5
20961,目前 为止,mu4 qian2   wei2 zhi3,5
20964,目次 第1 章,mu4 ci4   di4 1  zhang1,5
20965,目次 第1,mu4 ci4   di4 1,5
20966,目睹 了,mu4 du3   le,5
20990,地 把 目光,di4   ba3   mu4 guang1,5
