Order Number,Item,Pinyin,Frequency
556,敢 相信,gan3   xiang1 xin4,72
559,不 敢 相信,bu4   gan3   xiang1 xin4,72
901,我 相信,wo3   xiang1 xin4,52
1271,不 相信,bu4   xiang1 xin4,41
2084,相信 他,xiang1 xin4   ta1,28
2172,相信 自己,xiang1 xin4   zi4 ji3,27
2551,相信 地,xiang1 xin4   di4,24
2724,相信 我,xiang1 xin4   wo3,23
2765,相信 这,xiang1 xin4   zhe4,22
2899,不 敢 相信 地,bu4   gan3   xiang1 xin4   di4,21
3018,敢 相信 地,gan3   xiang1 xin4   di4,21
3078,相信 你,xiang1 xin4   ni3,21
3600,能 相信,neng2   xiang1 xin4,18
3760,真 不 敢 相信,zhen1   bu4   gan3   xiang1 xin4,17
3969,会 相信,hui4   xiang1 xin4,17
4426,不 敢 相信 自己,bu4   gan3   xiang1 xin4   zi4 ji3,15
4635,敢 相信 自己,gan3   xiang1 xin4   zi4 ji3,15
4985,不 能 相信,bu4   neng2   xiang1 xin4,14
5276,简直 不 敢 相信,jian3 zhi2   bu4   gan3   xiang1 xin4,13
5782,相信 自己 的,xiang1 xin4   zi4 ji3   de,13
6511,不 敢 相信 地 说,bu4   gan3   xiang1 xin4   di4   shuo1,11
6513,不 敢 相信 自己 的,bu4   gan3   xiang1 xin4   zi4 ji3   de,11
6731,我 相信 你,wo3   xiang1 xin4   ni3,11
6841,敢 相信 地 说,gan3   xiang1 xin4   di4   shuo1,11
6842,敢 相信 自己 的,gan3   xiang1 xin4   zi4 ji3   de,11
6924,哈利 不 敢 相信,ha1 li4   bu4   gan3   xiang1 xin4,11
7179,相信 地 说,xiang1 xin4   di4   shuo1,11
7564,我 不 相信,wo3   bu4   xiang1 xin4,10
7598,我 真 不 敢 相信,wo3   zhen1   bu4   gan3   xiang1 xin4,10
7861,他 相信,ta1   xiang1 xin4,10
7976,不 会 相信,bu4   hui4   xiang1 xin4,10
8840,无法 相信,wu2 fa3   xiang1 xin4,9
10382,哈利 不 敢 相信 地,ha1 li4   bu4   gan3   xiang1 xin4   di4,8
11023,不 敢 相信 自己 的 耳朵,bu4   gan3   xiang1 xin4   zi4 ji3   de   er3 duo3,7
11074,简直 不 敢 相信 自己,jian3 zhi2   bu4   gan3   xiang1 xin4   zi4 ji3,7
12148,敢 相信 自己 的 耳朵,gan3   xiang1 xin4   zi4 ji3   de   er3 duo3,7
12563,哈利 相信,ha1 li4   xiang1 xin4,7
12716,他们 互相,ta1 men   hu4 xiang1,7
13050,相信 地 问,xiang1 xin4   di4   wen4,7
13051,相间 的,xiang1 jian4   de,7
13052,相信 自己 的 耳朵,xiang1 xin4   zi4 ji3   de   er3 duo3,7
13789,罗恩 不 敢 相信 地,luo2 en1   bu4   gan3   xiang1 xin4   di4,6
13791,罗恩 不 敢 相信,luo2 en1   bu4   gan3   xiang1 xin4,6
14188,人 相信,ren2   xiang1 xin4,6
15513,哈利 简直 不 敢 相信,ha1 li4   jian3 zhi2   bu4   gan3   xiang1 xin4,6
16189,相信 他们,xiang1 xin4   ta1 men,6
16191,相信 我们,xiang1 xin4   wo3 men,6
16193,相信 的,xiang1 xin4   de,6
16702,简直 不 敢 相信 自己 的,jian3 zhi2   bu4   gan3   xiang1 xin4   zi4 ji3   de,5
17110,不 相信 他,bu4   xiang1 xin4   ta1,5
17930,都 不 相信,dou1   bu4   xiang1 xin4,5
17973,都 相信,dou1   xiang1 xin4,5
19536,是 相信,shi4   xiang1 xin4,5
19756,哈利 不 敢 相信 地 说,ha1 li4   bu4   gan3   xiang1 xin4   di4   shuo1,5
20752,的 真相,de   zhen1 xiang4,5
20980,相信 了,xiang1 xin4   le,5
20982,相信 我 的,xiang1 xin4   wo3   de,5
20983,相信 是,xiang1 xin4   shi4,5
20984,相信 它,xiang1 xin4   ta1,5
