Order Number,Item,Pinyin,Frequency
298,真 是,zhen1   shi4,110
442,我 真,wo3   zhen1,84
787,真 不,zhen1   bu4,57
936,真 希望,zhen1   xi1 wang4,51
1104,真 的,zhen1   de,46
1326,真是 太,zhen1 shi4   tai4,40
1615,真正 的,zhen1 zheng4   de,34
1659,真 想,zhen1   xiang3,33
1713,他 真,ta1   zhen1,32
2552,我 真 不,wo3   zhen1   bu4,24
2586,真 是 一,zhen1   shi4   yi1,23
2813,你 真的,ni3   zhen1 de,22
3031,是 真,shi4   zhen1,21
3185,你 真,ni3   zhen1,20
3273,真 不 敢,zhen1   bu4   gan3,19
3560,他 真的,ta1   zhen1 de,18
3760,真 不 敢 相信,zhen1   bu4   gan3   xiang1 xin4,17
4061,真的 很,zhen1 de   hen3,16
4354,是 真 的,shi4   zhen1   de,16
4387,真 是 太,zhen1   shi4   tai4,15
4442,我 真 希望,wo3   zhen1   xi1 wang4,15
5147,这 真,zhe4   zhen1,14
5185,真 不 明白,zhen1   bu4   ming2 bai2,14
5382,认真 地,ren4 zhen1   di4,13
5809,真的 不,zhen1 de   bu4,12
5914,他 真 希望,ta1   zhen1   xi1 wang4,12
6039,我 真 不 敢,wo3   zhen1   bu4   gan3,12
6040,我 真 想,wo3   zhen1   xiang3,12
6041,我 真的,wo3   zhen1 de,12
6157,这 真 是,zhe4   zhen1   shi4,12
6264,哈利 真,ha1 li4   zhen1,12
6567,他 真是,ta1   zhen1 shi4,11
6885,是 真的,shi4   zhen1 de,11
7171,得 真,de2   zhen1,11
7191,真 的 吗,zhen1   de   ma,10
7598,我 真 不 敢 相信,wo3   zhen1   bu4   gan3   xiang1 xin4,10
7768,可 真,ke3   zhen1,10
7792,个 真正,ge4   zhen1 zheng4,10
8152,真 是 一 个,zhen1   shi4   yi1   ge4,9
8153,真 高兴,zhen1   gao1 xing4,9
8895,个 真正 的,ge4   zhen1 zheng4   de,9
9004,一 个 真正,yi1   ge4   zhen1 zheng4,9
9376,真的 吗,zhen1 de   ma,8
9989,我 真 是,wo3   zhen1   shi4,8
10275,这 真 是 一,zhe4   zhen1   shi4   yi1,8
10503,一 个 真正 的,yi1   ge4   zhen1 zheng4   de,8
10946,真 不 知道,zhen1   bu4   zhi1 dao4,8
10948,真 奇怪,zhen1   qi2 guai4,8
10949,真 好,zhen1   hao3,8
10951,真 想 知道,zhen1   xiang3   zhi1 dao4,8
10977,真 有,zhen1   you3,7
11397,不 是 真,bu4   shi4   zhen1,7
12488,他 真 想,ta1   zhen1   xiang3,7
13084,真 可惜,zhen1   ke3 xi1,7
13085,真 希望 我,zhen1   xi1 wang4   wo3,7
13088,真 让,zhen1   rang4,6
13089,真是 太 好,zhen1 shi4   tai4   hao3,6
13090,真是 太 棒 了,zhen1 shi4   tai4   bang4   le,6
13091,真是 太 棒,zhen1 shi4   tai4   bang4,6
13093,真的 是,zhen1 de   shi4,6
13167,真是 太 好 了,zhen1 shi4   tai4   hao3   le,6
13524,你 真是,ni3   zhen1 shi4,6
13629,认真 地 说,ren4 zhen1   di4   shuo1,6
14584,我 真 不 明白,wo3   zhen1   bu4   ming2 bai2,6
14585,我 真 高兴,wo3   zhen1   gao1 xing4,6
16240,真 令,zhen1   ling4,6
16241,真 人,zhen1   ren2,6
16242,真 了不起,zhen1   liao3 bu4 qi3,6
16243,真 令 人,zhen1   ling4   ren2,6
16247,真 希望 自己,zhen1   xi1 wang4   zi4 ji3,6
16248,真 是 个,zhen1   shi4   ge4,5
16250,真 没,zhen1   mei2,5
16251,真 是 太 高兴,zhen1   shi4   tai4   gao1 xing4,5
16253,真 遗憾,zhen1   yi2 han4,5
16257,真的 会,zhen1 de   hui4,5
16375,真 是 了不起,zhen1   shi4   liao3 bu4 qi3,5
17023,你 真 是,ni3   zhen1   shi4,5
17207,见到 你 真,jian4 dao4   ni3   zhen1,5
17463,起来 真,qi3 lai2   zhen1,5
17709,这 真是,zhe4   zhen1 shi4,5
18754,我 真 想 知道,wo3   zhen1   xiang3   zhi1 dao4,5
18755,我 真 是 太,wo3   zhen1   shi4   tai4,5
18828,我们 真的,wo3 men   zhen1 de,5
19393,是 不 是 真,shi4   bu4   shi4   zhen1,5
19539,是 真的 吗,shi4   zhen1 de   ma,5
20752,的 真相,de   zhen1 xiang4,5
20753,的 真实,de   zhen1 shi2,5
21053,真 不 愿意,zhen1   bu4   yuan4 yi4,5
21058,真 够,zhen1   gou4,5
21060,真 希望 她,zhen1   xi1 wang4   ta1,5
