Order Number,Item,Pinyin,Frequency
80,的 眼睛,de   yan3 jing1,251
155,一 眼,yi1   yan3,165
600,了 一 眼,le   yi1   yan3,68
621,眼睛 里,yan3 jing1   li3,67
775,疯 眼汉,feng1   yan3 han4,58
885,着 眼睛,zhe   yan3 jing1,53
1438,只 魔眼,zhi3   mo2 yan3,38
1456,那 只 魔眼,na4   zhi3   mo2 yan3,37
1561,眼睛 盯,yan3 jing1   ding1,35
1593,他 的 眼睛,ta1   de   yan3 jing1,35
1602,眼睛 盯 着,yan3 jing1   ding1   zhe,34
1707,耀眼 的,yao4 yan3   de,33
2037,只 眼睛,zhi3   yan3 jing1,28
2233,了 眼睛,le   yan3 jing1,26
2267,一 眨眼,yi1   zha3 yan3,26
2348,眼睛 在,yan3 jing1   zai4,25
2349,眼汉 穆迪,yan3 han4   mu4 di2,25
2353,的 眼镜,de   yan3 jing4,25
2439,扫 了 一 眼,sao3   le   yi1   yan3,24
2449,大 眼睛,da4   yan3 jing1,24
2452,疯 眼汉 穆迪,feng1   yan3 han4   mu4 di2,24
2728,黑 眼睛,hei1   yan3 jing1,22
2735,眼睛 望 着,yan3 jing1   wang4   zhe,22
2736,眼睛 望,yan3 jing1   wang4,22
2883,眯起 眼睛,mi1 qi3   yan3 jing1,21
2947,了 眨眼睛,le   zha3 yan3 jing1,21
3021,一眼 就,yi1 yan3   jiu4,21
3082,眼睛 的,yan3 jing1   de,21
3214,闭上 眼睛,bi4 shang4   yan3 jing1,20
3254,小 眼睛,xiao3   yan3 jing1,20
3363,双 眼睛,shuang1   yan3 jing1,19
3405,的 大 眼睛,de   da4   yan3 jing1,19
3491,看 了 一 眼,kan4   le   yi1   yan3,19
3526,哈利 一 眼,ha1 li4   yi1   yan3,18
3564,的 眼睛 里,de   yan3 jing1   li3,18
3565,他 一 眼,ta1   yi1   yan3,18
3645,蓝 眼睛,lan2   yan3 jing1,18
3900,两 眼,liang3   yan3,17
4217,睁开 眼睛,zheng1 kai1   yan3 jing1,16
4359,的 黑 眼睛,de   hei1   yan3 jing1,16
4391,眼睛 仍然,yan3 jing1   reng2 ran2,15
4424,了 哈利 一 眼,le   ha1 li4   yi1   yan3,15
4747,眨 了 眨眼睛,zha3   le   zha3 yan3 jing1,14
4751,眼巴巴 地,yan3 ba1 ba1   di4,14
