Order Number,Item,Pinyin,Frequency
20,着 一,zhe   yi1,492
26,望 着,wang4   zhe,453
28,看 着,kan4   zhe,444
31,着 他,zhe   ta1,425
50,说 着,shuo1   zhe,351
57,着 哈利,zhe   ha1 li4,328
71,盯 着,ding1   zhe,275
169,带 着,dai4   zhe,159
223,着 他们,zhe   ta1 men,134
230,穿 着,chuan1   zhe,131
252,地 望 着,di4   wang4   zhe,123
255,指 着,zhi3   zhe,123
273,瞪 着,deng4   zhe,116
275,注视 着,zhu4 shi4   zhe,115
290,着 他 的,zhe   ta1   de,112
293,笑 着,xiao4   zhe,111
299,着 她,zhe   ta1,110
301,着 那,zhe   na4,109
304,着 说,zhe   shuo1,109
317,地 看 着,di4   kan4   zhe,105
333,拿 着,na2   zhe,102
336,等 着,deng3   zhe,101
344,着 一 个,zhe   yi1   ge4,100
383,着 的,zhe   de,92
498,地 盯 着,di4   ding1   zhe,78
531,戴 着,dai4   zhe,75
533,着 它,zhe   ta1,75
560,听 着,ting1   zhe,72
569,喘 着,chuan3   zhe,71
572,顺 着,shun4   zhe,71
574,望 着 他,wang4   zhe   ta1,71
594,打量 着,da3 liang4   zhe,69
599,不 着,bu4   zhe,68
641,着 气,zhe   qi4,65
689,着 什么,zhe   shen2 me,62
694,望 着 哈利,wang4   zhe   ha1 li4,62
721,看 着 他,kan4   zhe   ta1,60
723,着 哈利 的,zhe   ha1 li4   de,60
742,看 着 哈利,kan4   zhe   ha1 li4,59
750,罗恩 说 着,luo2 en1   shuo1   zhe,59
759,叫 着,jiao4   zhe,59
770,意味 着,yi4 wei4   zhe,58
783,着 罗恩,zhe   luo2 en1,57
814,抱 着,bao4   zhe,56
832,挂 着,gua4   zhe,55
842,长 着,zhang3   zhe,55
882,喘 着 气,chuan3   zhe   qi4,53
885,着 眼睛,zhe   yan3 jing1,53
889,写 着,xie3   zhe,53
913,闪 着,shan3   zhe,52
921,着 自己,zhe   zi4 ji3,52
928,地 瞪 着,di4   deng4   zhe,52
933,想 着,xiang3   zhe,51
1016,哈利 说 着,ha1 li4   shuo1   zhe,49
1018,抬头 望 着,tai2 tou2   wang4   zhe,48
1027,领 着,ling3   zhe,48
1046,盯 着 哈利,ding1   zhe   ha1 li4,48
1089,站 着,zhan4   zhe,46
1090,着 赫敏,zhe   he4 min3,46
