Order Number,Item,Pinyin,Frequency
903,魔法 石,mo2 fa3   shi2,52
1402,大理石 楼梯,da4 li3 shi2   lou2 ti1,38
3623,的 石头,de   shi2 tou,18
5879,被 石化,bei4   shi2 hua4,12
7245,块 石头,kuai4   shi2 tou,10
7275,石 的,shi2   de,10
7477,魔法 石 的,mo2 fa3   shi2   de,10
9209,的 大理石,de   da4 li3 shi2,9
9264,的 石阶,de   shi2 jie1,9
13242,石头 怪兽,shi2 tou   guai4 shou4,6
16494,石化 的,shi2 hua4   de,5
16496,石化 了,shi2 hua4   le,5
17118,被 石化 的,bei4   shi2 hua4   de,5
17434,走上 大理石,zou3 shang4   da4 li3 shi2,5
17538,了 魔法 石,le   mo2 fa3   shi2,5
20191,一 块 石头,yi1   kuai4   shi2 tou,5
