Order Number,Item,Pinyin,Frequency
483,礼堂 里,li3 tang2   li3,80
737,德思礼 一,de2 si1 li3   yi1,59
749,德思礼 一 家,de2 si1 li3   yi1   jia1,59
1061,德思礼 夫妇,de2 si1 li3   fu1 fu4,47
2730,德思礼 先生,de2 si1 li3   xian1 sheng1,22
2868,在 礼堂,zai4   li3 tang2,22
2911,礼服 长袍,li3 fu2   chang2 pao2,21
2925,的 礼物,de   li3 wu4,21
3537,礼堂 的,li3 tang2   de,18
3789,礼堂 里 的,li3 tang2   li3   de,17
4286,了 礼堂,le   li3 tang2,16
4903,思 礼,si1   li3,14
5091,德 思 礼,de2   si1   li3,14
5792,德思礼 太太,de2 si1 li3   tai4 tai4,13
5794,德思礼家 的,de2 si1 li3 jia1   de,13
5798,德 思礼,de2   si1 li3,12
6066,走进 礼堂,zou3 jin4   li3 tang2,12
6388,的 礼服,de   li3 fu2,12
7042,生日 礼物,sheng1 ri4   li3 wu4,11
7116,在 礼堂 里,zai4   li3 tang2   li3,11
7128,的 礼服 长袍,de   li3 fu2   chang2 pao2,11
7284,礼堂 时,li3 tang2   shi2,10
8176,礼 一,li3   yi1,9
8181,离开 礼堂,li2 kai1   li3 tang2,9
8248,礼 一 家,li3   yi1   jia1,9
8525,德 思 礼 一,de2   si1   li3   yi1,9
8526,德 思 礼 一 家,de2   si1   li3   yi1   jia1,9
8539,思 礼 一,si1   li3   yi1,9
8540,思 礼 一 家,si1   li3   yi1   jia1,9
10408,他 的 礼物,ta1   de   li3 wu4,8
10835,的 礼堂,de   li3 tang2,8
11012,礼堂 吃,li3 tang2   chi1,7
11013,礼堂 走去,li3 tang2   zou3 qu4,7
11685,德思礼 一 家 三,de2 si1 li3   yi1   jia1   san1,7
11687,德思礼 一 家 三 口,de2 si1 li3   yi1   jia1   san1   kou3,7
11690,德思礼 家,de2 si1 li3   jia1,7
11935,走出 礼堂,zou3 chu1   li3 tang2,7
12339,和 德思礼,he2   de2 si1 li3,7
12418,朝 礼堂,chao2   li3 tang2,7
12853,在 德思礼,zai4   de2 si1 li3,7
12909,的 生日 礼物,de   sheng1 ri4   li3 wu4,7
12913,件 礼物,jian4   li3 wu4,7
13166,着 礼堂,zhe   li3 tang2,6
13249,礼堂 里 的 人,li3 tang2   li3   de   ren2,6
13262,离开 德思礼家,li2 kai1   de2 si1 li3 jia1,6
15108,是 德思礼,shi4   de2 si1 li3,6
15158,个 礼堂,ge4   li3 tang2,6
15295,朝 礼堂 走去,chao2   li3 tang2   zou3 qu4,6
15924,在 德思礼家,zai4   de2 si1 li3 jia1,6
16508,礼堂 里 响起,li3 tang2   li3   xiang3 qi3,5
16509,礼貌 地,li3 mao4   di4,5
16510,礼堂 里 的 每,li3 tang2   li3   de   mei3,5
17792,送给 他 的 礼物,song4 gei3   ta1   de   li3 wu4,5
18378,德 思礼 先生,de2   si1 li3   xian1 sheng1,5
18461,思礼 先生,si1 li3   xian1 sheng1,5
18776,去 礼堂,qu4   li3 tang2,5
19293,整 个 礼堂,zheng3   ge4   li3 tang2,5
19636,和 德思礼 一 家,he2   de2 si1 li3   yi1   jia1,5
19637,和 德思礼 一,he2   de2 si1 li3   yi1,5
20447,圣诞 礼物,sheng4 dan4   li3 wu4,5
