Order Number,Item,Pinyin,Frequency
51,一 种,yi1   zhong3,349
119,这 种,zhe4   zhong3,189
346,那 种,na4   zhong3,99
538,是 一 种,shi4   yi1   zhong3,74
1128,有 一 种,you3   yi1   zhong3,45
1144,各 种,ge4   zhong3,44
1163,了 一 种,le   yi1   zhong3,44
1475,的 那 种,de   na4   zhong3,37
1844,某 种,mou3   zhong3,30
2196,泥巴 种,ni2 ba1   zhong3,27
2465,着 一 种,zhe   yi1   zhong3,24
2973,种 很,zhong3   hen3,21
3177,一 种 很,yi1   zhong3   hen3,20
3276,的 一 种,de   yi1   zhong3,19
3425,用 一 种,yong4   yi1   zhong3,19
4780,种 感觉,zhong3   gan3 jue2,14
5252,种 奇怪 的,zhong3   qi2 guai4   de,13
5369,种 奇怪,zhong3   qi2 guai4,13
5856,产生 了 一 种,chan3 sheng1   le   yi1   zhong3,12
5920,过 这 种,guo4   zhe4   zhong3,12
5926,哈利 有 一 种,ha1 li4   you3   yi1   zhong3,12
6159,这 种 感觉,zhe4   zhong3   gan3 jue2,12
6244,各种各样 的,ge4 zhong3 ge4 yang4   de,12
6472,种 情况,zhong3   qing2 kuang4,11
6516,种 可怕 的,zhong3   ke3 pa4   de,11
6518,种 可怕,zhong3   ke3 pa4,11
6564,那 是 一 种,na4   shi4   yi1   zhong3,11
6989,一 种 奇怪,yi1   zhong3   qi2 guai4,11
6992,一 种 奇怪 的,yi1   zhong3   qi2 guai4   de,11
7783,这 种 情况,zhe4   zhong3   qing2 kuang4,10
7860,带 着 一 种,dai4   zhe   yi1   zhong3,10
8182,种 很 不,zhong3   hen3   bu4,9
8257,种 事情,zhong3   shi4 qing2,9
8321,了 这 种,le   zhe4   zhong3,9
9041,一 种 可怕,yi1   zhong3   ke3 pa4,9
9047,一 种 可怕 的,yi1   zhong3   ke3 pa4   de,9
9609,了 那 种,le   na4   zhong3,8
10044,发出 一 种,fa1 chu1   yi1   zhong3,8
10337,有 一 种 很,you3   yi1   zhong3   hen3,8
10349,这 是 一 种,zhe4   shi4   yi1   zhong3,8
10532,一 种 很 不,yi1   zhong3   hen3   bu4,8
10786,以 一 种,yi3   yi1   zhong3,8
11022,种 古怪 的,zhong3   gu3 guai4   de,7
11175,种 事,zhong3   shi4,7
11177,种 古怪,zhong3   gu3 guai4,7
12019,变成 了 一 种,bian4 cheng2   le   yi1   zhong3,7
12268,这 种 事情,zhe4   zhong3   shi4 qing2,7
12389,有 这 种,you3   zhe4   zhong3,7
13264,种 不祥,zhong3   bu4 xiang2,6
13266,着 各 种,zhe   ge4   zhong3,6
13267,种 咒语,zhong3   zhou4 yu3,6
13269,种 药,zhong3   yao4,6
13505,种 不祥 的,zhong3   bu4 xiang2   de,6
13531,种 语言,zhong3   yu3 yan2,6
15153,是 这 种,shi4   zhe4   zhong3,6
15221,有 一 种 奇怪,you3   yi1   zhong3   qi2 guai4,6
15222,有 一 种 奇怪 的,you3   yi1   zhong3   qi2 guai4   de,6
15224,有 一 种 很 不,you3   yi1   zhong3   hen3   bu4,6
15449,一 种 不祥,yi1   zhong3   bu4 xiang2,6
15461,一 种 不祥 的,yi1   zhong3   bu4 xiang2   de,6
16488,了 各 种,le   ge4   zhong3,5
16541,种 东西,zhong3   dong1 xi1,5
16542,种 令,zhong3   ling4,5
16543,种 人,zhong3   ren2,5
16546,种 力量,zhong3   li4 liang4,5
16547,种 十分,zhong3   shi2 fen1,5
16548,种 侮辱,zhong3   wu3 ru3,5
16550,种 痛苦,zhong3   tong4 ku3,5
16551,种 方式,zhong3   fang1 shi4,5
16557,种 话,zhong3   hua4,5
16558,种 的,zhong3   de,5
16560,种 魔法,zhong3   mo2 fa3,5
16972,脸 上 带 着 一 种,lian3   shang4   dai4   zhe   yi1   zhong3,5
17712,这 种 人,zhe4   zhong3   ren2,5
18821,赫敏用 一 种,he4 min3 yong4   yi1   zhong3,5
19081,上 带 着 一 种,shang4   dai4   zhe   yi1   zhong3,5
19494,这 种 事,zhe4   zhong3   shi4,5
19499,这 种 药,zhe4   zhong3   yao4,5
19571,是 那 种,shi4   na4   zhong3,5
19606,他 有 一 种,ta1   you3   yi1   zhong3,5
19984,哈利 有 一 种 很,ha1 li4   you3   yi1   zhong3   hen3,5
20075,一 种 十分,yi1   zhong3   shi2 fen1,5
20378,用 那 种,yong4   na4   zhong3,5
20803,在 这 种,zai4   zhe4   zhong3,5
