Order Number,Item,Pinyin,Frequency
1162,穆迪 说,mu4 di2   shuo1,44
1272,穆迪 的,mu4 di2   de,41
1936,穆迪 教授,mu4 di2   jiao4 shou4,29
2349,眼汉 穆迪,yan3 han4   mu4 di2,25
2452,疯 眼汉 穆迪,feng1   yan3 han4   mu4 di2,24
4535,着 穆迪,zhe   mu4 di2,15
4829,和 穆迪,he2   mu4 di2,14
6521,穆迪 在,mu4 di2   zai4,11
7297,穆斯塔 发,mu4 si1 ta3   fa1,10
8187,穆迪 把,mu4 di2   ba3,9
8263,穆迪 轻声,mu4 di2   qing1 sheng1,9
8264,穆迪 那,mu4 di2   na4,9
10287,是 穆迪,shi4   mu4 di2,8
10838,的 穆迪,de   mu4 di2,8
11026,穆迪 轻声 说,mu4 di2   qing1 sheng1   shuo1,7
13275,穆迪 说 着,mu4 di2   shuo1   zhe,6
16002,在 穆迪,zai4   mu4 di2,6
16570,穆迪 的 那 只 魔眼,mu4 di2   de   na4   zhi3   mo2 yan3,5
16571,穆迪 的 那 只,mu4 di2   de   na4   zhi3,5
16572,穆迪 粗声粗气,mu4 di2   cu1 sheng1 cu1 qi4,5
16573,穆迪 粗声粗气 地,mu4 di2   cu1 sheng1 cu1 qi4   di4,5
16574,穆迪 粗声,mu4 di2   cu1 sheng1,5
16575,穆迪 的 那,mu4 di2   de   na4,5
16579,穆迪 那 只,mu4 di2   na4   zhi3,5
17046,穆迪 粗声粗气 地 说,mu4 di2   cu1 sheng1 cu1 qi4   di4   shuo1,5
19747,望 着 穆迪,wang4   zhe   mu4 di2,5
