Order Number,Item,Pinyin,Frequency
230,穿 着,chuan1   zhe,131
1481,穿 过,chuan1   guo4,37
1700,穿 着 一,chuan1   zhe   yi1,33
2840,穿 着 一 件,chuan1   zhe   yi1   jian4,22
3486,个 穿,ge4   chuan1,19
3762,地 穿过,di4   chuan1 guo4,17
3824,他 穿,ta1   chuan1,17
4068,穿 的,chuan1   de,16
4786,穿上 了,chuan1 shang4   le,14
5257,穿好 衣服,chuan1 hao3   yi1 fu2,13
5308,他 穿 着,ta1   chuan1   zhe,13
5569,他们 穿,ta1 men   chuan1,13
6022,一 个 穿,yi1   ge4   chuan1,12
6239,他 穿过,ta1   chuan1 guo4,12
6344,他们 穿 过,ta1 men   chuan1   guo4,12
7299,穿 斗篷,chuan1   dou3 peng2,10
7909,都 穿,dou1   chuan1,10
8268,穿 一,chuan1   yi1,9
9731,她 穿,ta1   chuan1,8
10306,个 穿 着,ge4   chuan1   zhe,8
11030,穿 斗篷 的,chuan1   dou3 peng2   de,7
11033,穿过 走廊,chuan1 guo4   zou3 lang2,7
11165,她 穿 着,ta1   chuan1   zhe,7
11222,穿过 门厅,chuan1 guo4   men2 ting1,7
11224,穿 着 那,chuan1   zhe   na4,7
11275,不 穿,bu4   chuan1,7
11525,都 穿 着,dou1   chuan1   zhe,7
13282,穿 着 他,chuan1   zhe   ta1,6
13337,大步 穿过,da4 bu4   chuan1 guo4,6
13553,穿过 了,chuan1 guo4   le,6
13557,穿过 人群,chuan1 guo4   ren2 qun2,6
15419,他 穿 着 一,ta1   chuan1   zhe   yi1,6
15422,他 穿 着 一 件,ta1   chuan1   zhe   yi1   jian4,6
16477,位 穿,wei4   chuan1,5
16586,穿 一 件,chuan1   yi1   jian4,5
16591,穿 着 一 件 长长 的,chuan1   zhe   yi1   jian4   chang2 chang2   de,5
16592,穿 着 一 件 长长,chuan1   zhe   yi1   jian4   chang2 chang2,5
16593,穿 着 长长 的,chuan1   zhe   chang2 chang2   de,5
16594,穿 着 隐形衣,chuan1   zhe   yin3 xing2 yi1,5
16595,穿 着 长长,chuan1   zhe   chang2 chang2,5
16597,穿上 隐形衣,chuan1 shang4   yin3 xing2 yi1,5
16598,穿 过 房间,chuan1   guo4   fang2 jian1,5
16599,穿过 一,chuan1 guo4   yi1,5
16603,穿过 草坪,chuan1 guo4   cao3 ping2,5
16604,穿过 场地,chuan1 guo4   chang3 di4,5
17083,穿 衣服,chuan1   yi1 fu2,5
17625,还 穿 着,hai2   chuan1   zhe,5
17626,还 穿,hai2   chuan1,5
18069,里 穿行,li3   chuan1 xing2,5
18170,径直 穿过,jing4 zhi2   chuan1 guo4,5
19542,是 穿,shi4   chuan1,5
20107,哈利 穿上,ha1 li4   chuan1 shang4,5
