Order Number,Item,Pinyin,Frequency
768,他 突然,ta1   tu1 ran2,58
904,哈利 突然,ha1 li4   tu1 ran2,52
2842,突然 从,tu1 ran2   cong2,22
2905,突然 说道,tu1 ran2   shuo1 dao4,21
3028,里 突然,li3   tu1 ran2,21
3339,突然 说,tu1 ran2   shuo1,19
3481,突然 出现,tu1 ran2   chu1 xian4,19
3822,罗恩 突然,luo2 en1   tu1 ran2,17
4433,突然 传来,tu1 ran2   chuan2 lai2,15
4462,赫敏 突然,he4 min3   tu1 ran2,15
4662,突然 一,tu1 ran2   yi1,15
5880,突然 变得,tu1 ran2   bian4 de2,12
6531,突然 想起,tu1 ran2   xiang3 qi3,11
7234,突然 传来 一,tu1 ran2   chuan2 lai2   yi1,10
7238,突然 看见,tu1 ran2   kan4 jian4,10
7303,突然 响起,tu1 ran2   xiang3 qi3,10
7304,突然 意识,tu1 ran2   yi4 shi2,10
7305,突然 意识 到,tu1 ran2   yi4 shi2   dao4,10
7311,突然 停住,tu1 ran2   ting2 zhu4,10
8174,声音 突然,sheng1 yin1   tu1 ran2,9
9413,突然 发现,tu1 ran2   fa1 xian4,8
9528,突然 出现 在,tu1 ran2   chu1 xian4   zai4,8
9532,突然 想到,tu1 ran2   xiang3 dao4,8
9534,突然 有,tu1 ran2   you3,8
9732,她 突然,ta1   tu1 ran2,8
11034,突出 的,tu1 chu1   de,7
11036,突然 产生,tu1 ran2   chan3 sheng1,7
11037,突然 传来 一 阵,tu1 ran2   chuan2 lai2   yi1   zhen4,7
11038,突然 停住 了,tu1 ran2   ting2 zhu4   le,7
11041,突然 被,tu1 ran2   bei4,7
11230,突然 又,tu1 ran2   you4,7
12582,哈利 突然 意识 到,ha1 li4   tu1 ran2   yi4 shi2   dao4,7
12583,哈利 突然 意识,ha1 li4   tu1 ran2   yi4 shi2,7
12612,海格 突然,hai3 ge2   tu1 ran2,7
12806,的 声音 突然,de   sheng1 yin1   tu1 ran2,7
13124,似乎 突然,si4 hu1   tu1 ran2,6
13284,突然 一 阵,tu1 ran2   yi1   zhen4,6
13285,突然 产生 了 一,tu1 ran2   chan3 sheng1   le   yi1,6
13286,突然 产生 了,tu1 ran2   chan3 sheng1   le,6
13291,突然 想,tu1 ran2   xiang3,6
13294,突然 有 了,tu1 ran2   you3   le,6
13509,脸上 突然,lian3 shang4   tu1 ran2,6
13569,突然 发出,tu1 ran2   fa1 chu1,6
13583,突然 对,tu1 ran2   dui4,6
13586,突然 显得,tu1 ran2   xian3 de,6
13588,突然 消失,tu1 ran2   xiao1 shi1,6
13905,就 突然,jiu4   tu1 ran2,6
14177,门 突然,men2   tu1 ran2,6
14980,教授 突然,jiao4 shou4   tu1 ran2,6
16035,的 突然,de   tu1 ran2,6
16290,眼睛 突然,yan3 jing1   tu1 ran2,5
16605,突然 之间,tu1 ran2   zhi1 jian1,5
16609,突然 冒出,tu1 ran2   mao4 chu1,5
16610,突然 停止,tu1 ran2   ting2 zhi3,5
16611,突然 出现 了,tu1 ran2   chu1 xian4   le,5
16614,突然 变成 了,tu1 ran2   bian4 cheng2   le,5
16615,突然 变成,tu1 ran2   bian4 cheng2,5
16616,突然 响起 一,tu1 ran2   xiang3 qi3   yi1,5
16617,突然 地,tu1 ran2   di4,5
16621,突然 感到,tu1 ran2   gan3 dao4,5
16622,突然 意识 到 自己,tu1 ran2   yi4 shi2   dao4   zi4 ji3,5
16623,突然 朝,tu1 ran2   chao2,5
17038,好像 突然,hao3 xiang4   tu1 ran2,5
17522,身后 突然,shen1 hou4   tu1 ran2,5
18389,心 突然,xin1   tu1 ran2,5
19298,斯内普 突然,si1 nei4 pu3   tu1 ran2,5
20263,唐突 地,tang2 tu1   di4,5
20758,的 眼睛 突然,de   yan3 jing1   tu1 ran2,5
20995,会 突然,hui4   tu1 ran2,5
